word,syllables,tonic,class,canonic
a,['a'],0,oxítona,False
á-bê-cê,"['á', 'bê', 'cê']",2,oxítona,False
a-propósito,"['a', '-pro', 'pó', 'si', 'to']",2,proparoxítona,False
à-vontade,"['à', '-von', 'ta', 'de']",2,paroxítona,False
aa,"['a', 'a']",0,paroxítona,False
aal,"['a', 'al']",1,oxítona,False
ab-reativo,"['ab-re', 'a', 'ti', 'vo']",2,paroxítona,False
ab-rogado,"['ab-ro', 'ga', 'do']",1,paroxítona,False
ab-rogador,"['ab-ro', 'ga', 'dor']",2,oxítona,False
ab-rogar,"['ab-ro', 'gar']",1,oxítona,False
ab-rogatório,"['ab-ro', 'ga', 'tó', 'ri', 'o']",2,proparoxítona,False
aba,"['a', 'ba']",0,paroxítona,False
abacanto,"['a', 'ba', 'can', 'to']",2,paroxítona,False
abacate,"['a', 'ba', 'ca', 'te']",2,paroxítona,False
abacaxi,"['a', 'ba', 'ca', 'xi']",3,oxítona,False
abacial,"['a', 'ba', 'ci', 'al']",3,oxítona,False
ábaco,"['á', 'ba', 'co']",0,proparoxítona,False
abada,"['a', 'ba', 'da']",1,paroxítona,False
abadágio,"['a', 'ba', 'dá', 'gi', 'o']",2,proparoxítona,False
abadar,"['a', 'ba', 'dar']",2,oxítona,False
abade,"['a', 'ba', 'de']",1,paroxítona,False
abadejo,"['a', 'ba', 'de', 'jo']",2,paroxítona,False
abadessa,"['a', 'ba', 'des', 'sa']",2,paroxítona,False
abadessar,"['a', 'ba', 'des', 'sar']",3,oxítona,False
abadia,"['a', 'ba', 'di', 'a']",2,paroxítona,False
abadiado,"['a', 'ba', 'di', 'a', 'do']",3,paroxítona,False
abadiar,"['a', 'ba', 'di', 'ar']",3,oxítona,False
abadir,"['a', 'ba', 'dir']",2,oxítona,False
abado,"['a', 'ba', 'do']",1,paroxítona,False
abafadamente,"['a', 'ba', 'fa', 'da', 'men', 'te']",4,paroxítona,False
abafado,"['a', 'ba', 'fa', 'do']",2,paroxítona,False
abafador,"['a', 'ba', 'fa', 'dor']",3,oxítona,False
abafamento,"['a', 'ba', 'fa', 'men', 'to']",3,paroxítona,False
abafante,"['a', 'ba', 'fan', 'te']",2,paroxítona,False
abafar,"['a', 'ba', 'far']",2,oxítona,False
abafável,"['a', 'ba', 'fá', 'vel']",2,paroxítona,False
abafo,"['a', 'ba', 'fo']",1,paroxítona,False
abaixa,"['a', 'bai', 'xa']",1,paroxítona,False
abaixado,"['a', 'bai', 'xa', 'do']",2,paroxítona,False
abaixamento,"['a', 'bai', 'xa', 'men', 'to']",3,paroxítona,False
abaixar,"['a', 'bai', 'xar']",2,oxítona,False
abaixo,"['a', 'bai', 'xo']",1,paroxítona,False
abaixo-assinado,"['a', 'bai', 'xo-as', 'si', 'na', 'do']",4,paroxítona,False
abajoujado,"['a', 'ba', 'jou', 'ja', 'do']",3,paroxítona,False
abajoujar,"['a', 'ba', 'jou', 'jar']",3,oxítona,False
abajur,"['a', 'ba', 'jur']",2,oxítona,False
abalada,"['a', 'ba', 'la', 'da']",2,paroxítona,False
abalado,"['a', 'ba', 'la', 'do']",2,paroxítona,False
abalançado,"['a', 'ba', 'lan', 'ça', 'do']",3,paroxítona,False
abalançar,"['a', 'ba', 'lan', 'çar']",3,oxítona,False
abalar,"['a', 'ba', 'lar']",2,oxítona,False
abalçado,"['a', 'bal', 'ça', 'do']",2,paroxítona,False
abalçar,"['a', 'bal', 'çar']",2,oxítona,False
abalienação,"['a', 'ba', 'li', 'e', 'na', 'ção']",5,oxítona,False
abalienado,"['a', 'ba', 'li', 'e', 'na', 'do']",4,paroxítona,False
abalienar,"['a', 'ba', 'li', 'e', 'nar']",4,oxítona,False
abalienável,"['a', 'ba', 'li', 'e', 'ná', 'vel']",4,paroxítona,False
abalistar,"['a', 'ba', 'lis', 'tar']",3,oxítona,False
abalizadamente,"['a', 'ba', 'li', 'za', 'da', 'men', 'te']",5,paroxítona,False
abalizado,"['a', 'ba', 'li', 'za', 'do']",3,paroxítona,False
abalizar,"['a', 'ba', 'li', 'zar']",3,oxítona,False
abalo,"['a', 'ba', 'lo']",1,paroxítona,False
abalone,"['a', 'ba', 'lo', 'ne']",2,paroxítona,False
abalroa,"['a', 'bal', 'ro', 'a']",2,paroxítona,False
abalroada,"['a', 'bal', 'ro', 'a', 'da']",3,paroxítona,False
abalroado,"['a', 'bal', 'ro', 'a', 'do']",3,paroxítona,False
abalroamento,"['a', 'bal', 'ro', 'a', 'men', 'to']",4,paroxítona,False
abalroar,"['a', 'bal', 'ro', 'ar']",3,oxítona,False
abaluartado,"['a', 'ba', 'lu', 'ar', 'ta', 'do']",4,paroxítona,False
abaluartar,"['a', 'ba', 'lu', 'ar', 'tar']",4,oxítona,False
abama,"['a', 'ba', 'ma']",1,paroxítona,False
abanado,"['a', 'ba', 'na', 'do']",2,paroxítona,False
abananado,"['a', 'ba', 'na', 'na', 'do']",3,paroxítona,False
abananar,"['a', 'ba', 'na', 'nar']",3,oxítona,False
abanão,"['a', 'ba', 'não']",2,oxítona,False
abanar,"['a', 'ba', 'nar']",2,oxítona,False
abancado,"['a', 'ban', 'ca', 'do']",2,paroxítona,False
abancar,"['a', 'ban', 'car']",2,oxítona,False
