word,syllables,tonic,class,canonic
babá,"['ba', 'bá']",1,oxítona,True
baba,"['ba', 'ba']",0,paroxítona,True
babaca,"['ba', 'ba', 'ca']",1,paroxítona,True
babada,"['ba', 'ba', 'da']",1,paroxítona,True
babado,"['ba', 'ba', 'do']",1,paroxítona,True
babar,"['ba', 'bar']",1,oxítona,False
babeiro,"['ba', 'bei', 'ro']",1,paroxítona,False
babel,"['ba', 'bel']",1,oxítona,False
babélico,"['ba', 'bé', 'li', 'co']",1,proparoxítona,True
babete,"['ba', 'be', 'te']",1,paroxítona,True
babilónia,"['ba', 'bi', 'ló', 'ni', 'a']",2,proparoxítona,False
babilônia,"['ba', 'bi', 'lô', 'ni', 'a']",2,proparoxítona,False
babilônico,"['ba', 'bi', 'lô', 'ni', 'co']",2,proparoxítona,True
babilónico,"['ba', 'bi', 'ló', 'ni', 'co']",2,proparoxítona,True
babilónio,"['ba', 'bi', 'ló', 'ni', 'o']",2,proparoxítona,False
babilônio,"['ba', 'bi', 'lô', 'ni', 'o']",2,proparoxítona,False
babosa,"['ba', 'bo', 'sa']",1,paroxítona,True
baboseira,"['ba', 'bo', 'sei', 'ra']",2,paroxítona,False
baboso,"['ba', 'bo', 'so']",1,paroxítona,True
babucha,"['ba', 'bu', 'cha']",1,paroxítona,False
babugem,"['ba', 'bu', 'gem']",1,paroxítona,False
babuíno,"['ba', 'bu', 'í', 'no']",2,paroxítona,False
baby-sitter,"['ba', 'by-', 'sit', 'ter']",2,paroxítona,False
bacalhau,"['ba', 'ca', 'lhau']",2,oxítona,False
bacalhoeira,"['ba', 'ca', 'lho', 'ei', 'ra']",3,paroxítona,False
bacalhoeiro,"['ba', 'ca', 'lho', 'ei', 'ro']",3,paroxítona,False
bacamarte,"['ba', 'ca', 'mar', 'te']",2,paroxítona,False
bacana,"['ba', 'ca', 'na']",1,paroxítona,True
bacanal,"['ba', 'ca', 'nal']",2,oxítona,False
bacano,"['ba', 'ca', 'no']",1,paroxítona,True
bacante,"['ba', 'can', 'te']",1,paroxítona,False
bacará,"['ba', 'ca', 'rá']",2,oxítona,True
bacelar,"['ba', 'ce', 'lar']",2,oxítona,False
bacelo,"['ba', 'ce', 'lo']",1,paroxítona,True
bacharel,"['ba', 'cha', 'rel']",2,oxítona,False
bacharelado,"['ba', 'cha', 're', 'la', 'do']",3,paroxítona,False
bacharelar,"['ba', 'cha', 're', 'lar']",3,oxítona,False
bacharelato,"['ba', 'cha', 're', 'la', 'to']",3,paroxítona,False
bachata,"['ba', 'cha', 'ta']",1,paroxítona,False
bacia,"['ba', 'ci', 'a']",1,paroxítona,False
bacilo,"['ba', 'ci', 'lo']",1,paroxítona,True
bacio,"['ba', 'ci', 'o']",1,paroxítona,False
background,"['back', 'ground']",0,paroxítona,False
backup,"['bac', 'kup']",0,paroxítona,False
baço,"['ba', 'ço']",0,paroxítona,True
bacoca,"['ba', 'co', 'ca']",1,paroxítona,True
bacoco,"['ba', 'co', 'co']",1,paroxítona,True
bacon,"['ba', 'con']",0,paroxítona,False
bacongo,"['ba', 'con', 'go']",1,paroxítona,False
baconiano,"['ba', 'co', 'ni', 'a', 'no']",3,paroxítona,False
bacorada,"['ba', 'co', 'ra', 'da']",2,paroxítona,True
bacorinho,"['ba', 'co', 'ri', 'nho']",2,paroxítona,False
bácoro,"['bá', 'co', 'ro']",0,proparoxítona,True
bactéria,"['bac', 'té', 'ri', 'a']",1,proparoxítona,False
bacterial,"['bac', 'te', 'ri', 'al']",3,oxítona,False
bacteriano,"['bac', 'te', 'ri', 'a', 'no']",3,paroxítona,False
