word,syllables,tonic,class,canonic
cá,['cá'],0,oxítona,True
cã,['cã'],0,oxítona,True
ca,['ca'],0,oxítona,True
caba,"['ca', 'ba']",0,paroxítona,True
cabaça,"['ca', 'ba', 'ça']",1,paroxítona,True
cabaceira,"['ca', 'ba', 'cei', 'ra']",2,paroxítona,False
cabaceiro,"['ca', 'ba', 'cei', 'ro']",2,paroxítona,False
cabacinha,"['ca', 'ba', 'ci', 'nha']",2,paroxítona,False
cabaço,"['ca', 'ba', 'ço']",1,paroxítona,True
cabaia,"['ca', 'bai', 'a']",1,paroxítona,False
cabal,"['ca', 'bal']",1,oxítona,False
cabala,"['ca', 'ba', 'la']",1,paroxítona,True
cabalar,"['ca', 'ba', 'lar']",2,oxítona,False
cabalista,"['ca', 'ba', 'lis', 'ta']",2,paroxítona,False
cabalisticamente,"['ca', 'ba', 'lis', 'ti', 'ca', 'men', 'te']",5,paroxítona,False
cabalístico,"['ca', 'ba', 'lís', 'ti', 'co']",2,proparoxítona,False
cabalmente,"['ca', 'bal', 'men', 'te']",2,paroxítona,False
cabana,"['ca', 'ba', 'na']",1,paroxítona,True
cabaneiro,"['ca', 'ba', 'nei', 'ro']",2,paroxítona,False
cabano,"['ca', 'ba', 'no']",1,paroxítona,True
cabaré,"['ca', 'ba', 'ré']",2,oxítona,True
cabaz,"['ca', 'baz']",1,oxítona,False
cabazada,"['ca', 'ba', 'za', 'da']",2,paroxítona,True
cabe,"['ca', 'be']",0,paroxítona,True
cabeça,"['ca', 'be', 'ça']",1,paroxítona,True
cabeça de cartaz,"['ca', 'be', 'ça de car', 'taz']",3,oxítona,False
cabeça de casal,"['ca', 'be', 'ça de ca', 'sal']",3,oxítona,False
cabeça de lista,"['ca', 'be', 'ça de ', 'lis', 'ta']",3,paroxítona,False
cabeça de série,"['ca', 'be', 'ça de ', 'sé', 'ri', 'e']",3,proparoxítona,False
cabeçada,"['ca', 'be', 'ça', 'da']",2,paroxítona,True
cabeçalho,"['ca', 'be', 'ça', 'lho']",2,paroxítona,False
cabeção,"['ca', 'be', 'ção']",2,oxítona,False
cabeceamento,"['ca', 'be', 'ce', 'a', 'men', 'to']",4,paroxítona,False
cabecear,"['ca', 'be', 'ce', 'ar']",3,oxítona,False
cabeceira,"['ca', 'be', 'cei', 'ra']",2,paroxítona,False
cabeceirense,"['ca', 'be', 'cei', 'ren', 'se']",3,paroxítona,False
cabecilha,"['ca', 'be', 'ci', 'lha']",2,paroxítona,False
cabecinha,"['ca', 'be', 'ci', 'nha']",2,paroxítona,False
cabeço,"['ca', 'be', 'ço']",1,paroxítona,True
cabeçorra,"['ca', 'be', 'çor', 'ra']",2,paroxítona,False
