word,syllables,tonic,class,canonic
dação,"['da', 'ção']",1,oxítona,False
dácia,"['dá', 'ci', 'a']",0,proparoxítona,False
dácio,"['dá', 'ci', 'o']",0,proparoxítona,False
daco,"['da', 'co']",0,paroxítona,True
dactilografado,"['dac', 'ti', 'lo', 'gra', 'fa', 'do']",4,paroxítona,False
dactilografar,"['dac', 'ti', 'lo', 'gra', 'far']",4,oxítona,False
dactilografia,"['dac', 'ti', 'lo', 'gra', 'fi', 'a']",4,paroxítona,False
dactilógrafo,"['dac', 'ti', 'ló', 'gra', 'fo']",2,proparoxítona,False
dactiloscopia,"['dac', 'ti', 'los', 'co', 'pi', 'a']",4,paroxítona,False
dactiloscópico,"['dac', 'ti', 'los', 'có', 'pi', 'co']",3,proparoxítona,False
dadá,"['da', 'dá']",1,oxítona,True
dada,"['da', 'da']",0,paroxítona,True
dadaísmo,"['da', 'da', 'ís', 'mo']",2,paroxítona,False
dadaísta,"['da', 'da', 'ís', 'ta']",2,paroxítona,False
dádiva,"['dá', 'di', 'va']",0,proparoxítona,True
dado,"['da', 'do']",0,paroxítona,True
dador,"['da', 'dor']",1,oxítona,False
dafne,"['daf', 'ne']",0,paroxítona,False
dáfnia,"['dáf', 'ni', 'a']",0,proparoxítona,False
daguerreótipo,"['da', 'guer', 're', 'ó', 'ti', 'po']",3,proparoxítona,False
daí,"['da', 'í']",1,oxítona,False
dáimio,"['dá', 'i', 'mi', 'o']",0,proparoxítona,False
dal,['dal'],0,oxítona,False
dala,"['da', 'la']",0,paroxítona,True
dalai-lama,"['da', 'lai', 'la', 'ma']",2,paroxítona,False
dali,"['da', 'li']",1,oxítona,True
dália,"['dá', 'li', 'a']",0,proparoxítona,False
dálmata,"['dál', 'ma', 'ta']",0,proparoxítona,False
dalmática,"['dal', 'má', 'ti', 'ca']",1,proparoxítona,False
dalmático,"['dal', 'má', 'ti', 'co']",1,proparoxítona,False
daltónico,"['dal', 'tó', 'ni', 'co']",1,proparoxítona,False
daltonismo,"['dal', 'to', 'nis', 'mo']",2,paroxítona,False
dama,"['da', 'ma']",0,paroxítona,True
damas,"['da', 'mas']",0,paroxítona,False
damasceno,"['da', 'mas', 'ce', 'no']",2,paroxítona,False
damasco,"['da', 'mas', 'co']",1,paroxítona,False
damasqueiro,"['da', 'mas', 'quei', 'ro']",2,paroxítona,False
damba,"['dam', 'ba']",0,paroxítona,False
damo,"['da', 'mo']",0,paroxítona,True
dana,"['da', 'na']",0,paroxítona,True
danação,"['da', 'na', 'ção']",2,oxítona,False
danada,"['da', 'na', 'da']",1,paroxítona,True
danado,"['da', 'na', 'do']",1,paroxítona,True
danar,"['da', 'nar']",1,oxítona,False
dança,"['dan', 'ça']",0,paroxítona,False
dançado,"['dan', 'ça', 'do']",1,paroxítona,False
dançador,"['dan', 'ça', 'dor']",2,oxítona,False
dançante,"['dan', 'çan', 'te']",1,paroxítona,False
dançar,"['dan', 'çar']",1,oxítona,False
dançarina,"['dan', 'ça', 'ri', 'na']",2,paroxítona,False
dançarino,"['dan', 'ça', 'ri', 'no']",2,paroxítona,False
danceteria,"['dan', 'ce', 'te', 'ri', 'a']",3,paroxítona,False
dancing,"['dan', 'cing']",0,paroxítona,False
dândi,"['dân', 'di']",0,paroxítona,False
dandismo,"['dan', 'dis', 'mo']",1,paroxítona,False
dandy,"['dan', 'dy']",0,paroxítona,False
danificação,"['da', 'ni', 'fi', 'ca', 'ção']",4,oxítona,False
danificado,"['da', 'ni', 'fi', 'ca', 'do']",3,paroxítona,True
danificar,"['da', 'ni', 'fi', 'car']",3,oxítona,False
daninhar,"['da', 'ni', 'nhar']",2,oxítona,False
daninho,"['da', 'ni', 'nho']",1,paroxítona,False
dano,"['da', 'no']",0,paroxítona,True
