word,syllables,tonic,class,canonic
fã,['fã'],0,oxítona,True
fá,['fá'],0,oxítona,True
fabiana,"['fa', 'bi', 'a', 'na']",2,paroxítona,False
fabiano,"['fa', 'bi', 'a', 'no']",2,paroxítona,False
fábrica,"['fá', 'bri', 'ca']",0,proparoxítona,False
fabricação,"['fa', 'bri', 'ca', 'ção']",3,oxítona,False
fabricado,"['fa', 'bri', 'ca', 'do']",2,paroxítona,False
fabricador,"['fa', 'bri', 'ca', 'dor']",3,oxítona,False
fabricando,"['fa', 'bri', 'can', 'do']",2,paroxítona,False
fabricante,"['fa', 'bri', 'can', 'te']",2,paroxítona,False
fabricar,"['fa', 'bri', 'car']",2,oxítona,False
fabrico,"['fa', 'bri', 'co']",1,paroxítona,False
fabril,"['fa', 'bril']",1,oxítona,False
fabrilmente,"['fa', 'bril', 'men', 'te']",2,paroxítona,False
fabriqueiro,"['fa', 'bri', 'quei', 'ro']",2,paroxítona,False
fabro,"['fa', 'bro']",0,paroxítona,False
fábula,"['fá', 'bu', 'la']",0,proparoxítona,True
fabulação,"['fa', 'bu', 'la', 'ção']",3,oxítona,False
fabulador,"['fa', 'bu', 'la', 'dor']",3,oxítona,False
fabular,"['fa', 'bu', 'lar']",2,oxítona,False
fabulário,"['fa', 'bu', 'lá', 'ri', 'o']",2,proparoxítona,False
fabulista,"['fa', 'bu', 'lis', 'ta']",2,paroxítona,False
fabulosamente,"['fa', 'bu', 'lo', 'sa', 'men', 'te']",4,paroxítona,False
fabuloso,"['fa', 'bu', 'lo', 'so']",2,paroxítona,True
fac-similado,"['fac', '-si', 'mi', 'la', 'do']",3,paroxítona,False
fac-similar,"['fac', '-si', 'mi', 'lar']",3,oxítona,False
fac-símile,"['fac', 'sí', 'mi', 'le']",1,proparoxítona,False
faca,"['fa', 'ca']",0,paroxítona,True
facada,"['fa', 'ca', 'da']",1,paroxítona,True
facaia,"['fa', 'cai', 'a']",1,paroxítona,False
facalhão,"['fa', 'ca', 'lhão']",2,oxítona,False
façanha,"['fa', 'ça', 'nha']",1,paroxítona,False
façanhuda,"['fa', 'ça', 'nhu', 'da']",2,paroxítona,False
façanhudo,"['fa', 'ça', 'nhu', 'do']",2,paroxítona,False
facão,"['fa', 'cão']",1,oxítona,False
fação,"['fa', 'ção']",1,oxítona,False
facção,"['fac', 'ção']",1,oxítona,False
facciosa,"['fac', 'ci', 'o', 'sa']",2,paroxítona,False
facciosamente,"['fac', 'ci', 'o', 'sa', 'men', 'te']",4,paroxítona,False
facciosismo,"['fac', 'ci', 'o', 'sis', 'mo']",3,paroxítona,False
faccioso,"['fac', 'ci', 'o', 'so']",2,paroxítona,False
face,"['fa', 'ce']",0,paroxítona,True
facécia,"['fa', 'cé', 'ci', 'a']",1,proparoxítona,False
faceira,"['fa', 'cei', 'ra']",1,paroxítona,False
faceiramente,"['fa', 'cei', 'ra', 'men', 'te']",3,paroxítona,False
faceirar,"['fa', 'cei', 'rar']",2,oxítona,False
faceiro,"['fa', 'cei', 'ro']",1,paroxítona,False
