word,syllables,tonic,class,canonic
i,['i'],0,oxítona,False
iaiá,"['i', 'ai', 'á']",2,oxítona,False
ianque,"['i', 'an', 'que']",1,paroxítona,False
ião,"['i', 'ão']",1,oxítona,False
iao,"['i', 'ao']",1,oxítona,False
iaque,"['i', 'a', 'que']",1,paroxítona,False
iara,"['i', 'a', 'ra']",1,paroxítona,False
iate,"['i', 'a', 'te']",1,paroxítona,False
iatismo,"['i', 'a', 'tis', 'mo']",2,paroxítona,False
iatista,"['i', 'a', 'tis', 'ta']",2,paroxítona,False
ibéria,"['i', 'bé', 'ri', 'a']",1,proparoxítona,False
ibérica,"['i', 'bé', 'ri', 'ca']",1,proparoxítona,False
ibérico,"['i', 'bé', 'ri', 'co']",1,proparoxítona,False
ibério,"['i', 'bé', 'ri', 'o']",1,proparoxítona,False
iberismo,"['i', 'be', 'ris', 'mo']",2,paroxítona,False
iberista,"['i', 'be', 'ris', 'ta']",2,paroxítona,False
iberização,"['i', 'be', 'ri', 'za', 'ção']",4,oxítona,False
ibero,"['i', 'be', 'ro']",1,paroxítona,False
ibero-americana,"['i', 'be', 'ro-a', 'me', 'ri', 'ca', 'na']",5,paroxítona,False
ibero-americano,"['i', 'be', 'ro-a', 'me', 'ri', 'ca', 'no']",5,paroxítona,False
ibidem,"['i', 'bi', 'dem']",1,paroxítona,False
íbis,"['í', 'bis']",0,paroxítona,False
ibogaína,"['i', 'bo', 'ga', 'í', 'na']",3,paroxítona,False
ibseniano,"['ib', 'se', 'ni', 'a', 'no']",3,paroxítona,False
içá,"['i', 'çá']",1,oxítona,False
içar,"['i', 'çar']",1,oxítona,False
iceberg,"['i', 'ce', 'berg']",0,proparoxítona,False
icebergue,"['i', 'ce', 'ber', 'gue']",2,paroxítona,False
ícone,"['í', 'co', 'ne']",0,proparoxítona,False
icónico,"['i', 'có', 'ni', 'co']",1,proparoxítona,False
iconoclasta,"['i', 'co', 'no', 'clas', 'ta']",3,paroxítona,False
iconoclastia,"['i', 'co', 'no', 'clas', 'ti', 'a']",4,paroxítona,False
iconoclástico,"['i', 'co', 'no', 'clás', 'ti', 'co']",3,proparoxítona,False
iconografia,"['i', 'co', 'no', 'gra', 'fi', 'a']",4,paroxítona,False
iconograficamente,"['i', 'co', 'no', 'gra', 'fi', 'ca', 'men', 'te']",6,paroxítona,False
iconográfico,"['i', 'co', 'no', 'grá', 'fi', 'co']",3,proparoxítona,False
iconologia,"['i', 'co', 'no', 'lo', 'gi', 'a']",4,paroxítona,False
iconológico,"['i', 'co', 'no', 'ló', 'gi', 'co']",3,proparoxítona,False
icosaedro,"['i', 'co', 'sa', 'e', 'dro']",3,paroxítona,False
icterícia,"['ic', 'te', 'rí', 'ci', 'a']",2,proparoxítona,False
ictiologia,"['ic', 'ti', 'o', 'lo', 'gi', 'a']",4,paroxítona,False
ictiológico,"['ic', 'ti', 'o', 'ló', 'gi', 'co']",3,proparoxítona,False
ictus,"['ic', 'tus']",1,oxítona,False
id,['id'],0,oxítona,False
ida,"['i', 'da']",0,paroxítona,False
idade,"['i', 'da', 'de']",1,paroxítona,False
