word,syllables,tonic,class,canonic
já,['já'],0,oxítona,True
jabiru,"['ja', 'bi', 'ru']",2,oxítona,True
jabuti,"['ja', 'bu', 'ti']",2,oxítona,True
jaca,"['ja', 'ca']",0,paroxítona,True
jacarandá,"['ja', 'ca', 'ran', 'dá']",3,oxítona,False
jacaré,"['ja', 'ca', 'ré']",2,oxítona,True
jacente,"['ja', 'cen', 'te']",1,paroxítona,False
jacinto,"['ja', 'cin', 'to']",1,paroxítona,False
jackpot,"['jack', 'pot']",1,oxítona,False
jacobeia,"['ja', 'co', 'bei', 'a']",2,paroxítona,False
jacobeu,"['ja', 'co', 'beu']",2,oxítona,False
jacobinamente,"['ja', 'co', 'bi', 'na', 'men', 'te']",4,paroxítona,False
jacobinismo,"['ja', 'co', 'bi', 'nis', 'mo']",3,paroxítona,False
jacobino,"['ja', 'co', 'bi', 'no']",2,paroxítona,True
jactância,"['jac', 'tân', 'ci', 'a']",1,proparoxítona,False
jactar,"['jac', 'tar']",1,oxítona,False
jacto,"['jac', 'to']",0,paroxítona,False
jaculatória,"['ja', 'cu', 'la', 'tó', 'ri', 'a']",3,proparoxítona,False
jaculatório,"['ja', 'cu', 'la', 'tó', 'ri', 'o']",3,proparoxítona,False
jacutinga,"['ja', 'cu', 'tin', 'ga']",2,paroxítona,False
jacuzzi,"['ja', 'cuz', 'zi']",1,paroxítona,False
jade,"['ja', 'de']",0,paroxítona,True
jaez,"['ja', 'ez']",1,oxítona,False
jaga,"['ja', 'ga']",0,paroxítona,True
jagra,"['ja', 'gra']",0,paroxítona,False
jaguar,"['ja', 'guar']",1,oxítona,False
jagunço,"['ja', 'gun', 'ço']",1,paroxítona,False
jainismo,"['jai', 'nis', 'mo']",1,paroxítona,False
jainista,"['jai', 'nis', 'ta']",1,paroxítona,False
jalde,"['jal', 'de']",0,paroxítona,False
jaleca,"['ja', 'le', 'ca']",1,paroxítona,True
jaleco,"['ja', 'le', 'co']",1,paroxítona,True
jam-session,"['jam', 'ses', 'sion']",1,paroxítona,False
jamaicana,"['ja', 'mai', 'ca', 'na']",2,paroxítona,False
jamaicano,"['ja', 'mai', 'ca', 'no']",2,paroxítona,False
jamais,"['ja', 'mais']",1,oxítona,False
jamba,"['jam', 'ba']",0,paroxítona,False
jambi,"['jam', 'bi']",1,oxítona,False
jambo,"['jam', 'bo']",0,paroxítona,False
jamboree,"['jam', 'bo', 'ree']",2,oxítona,False
janar,"['ja', 'nar']",1,oxítona,False
janda,"['jan', 'da']",0,paroxítona,False
janeirada,"['ja', 'nei', 'ra', 'da']",2,paroxítona,False
janeiras,"['ja', 'nei', 'ras']",1,paroxítona,False
janeireiro,"['ja', 'nei', 'rei', 'ro']",2,paroxítona,False
janeirinha,"['ja', 'nei', 'ri', 'nha']",2,paroxítona,False
janeirinho,"['ja', 'nei', 'ri', 'nho']",2,paroxítona,False
janeiros,"['ja', 'nei', 'ros']",1,paroxítona,False
janela,"['ja', 'ne', 'la']",1,paroxítona,True
janelar,"['ja', 'ne', 'lar']",2,oxítona,False
janelinha,"['ja', 'ne', 'li', 'nha']",2,paroxítona,False
janelo,"['ja', 'ne', 'lo']",1,paroxítona,True
jangada,"['jan', 'ga', 'da']",1,paroxítona,False
jangadeiro,"['jan', 'ga', 'dei', 'ro']",2,paroxítona,False
jango,"['jan', 'go']",0,paroxítona,False
janízaro,"['ja', 'ní', 'za', 'ro']",1,proparoxítona,True
janota,"['ja', 'no', 'ta']",1,paroxítona,True
janotar,"['ja', 'no', 'tar']",2,oxítona,False
jansenismo,"['jan', 'se', 'nis', 'mo']",2,paroxítona,False
jansenista,"['jan', 'se', 'nis', 'ta']",2,paroxítona,False
janta,"['jan', 'ta']",0,paroxítona,False
jantado,"['jan', 'ta', 'do']",1,paroxítona,False
jantar,"['jan', 'tar']",1,oxítona,False
jantar-comício,"['jan', 'tar', '-co', 'mí', 'ci', 'o']",3,proparoxítona,False
jantarada,"['jan', 'ta', 'ra', 'da']",2,paroxítona,False
jantarão,"['jan', 'ta', 'rão']",2,oxítona,False
jante,"['jan', 'te']",0,paroxítona,False
januário,"['ja', 'nu', 'á', 'ri', 'o']",2,proparoxítona,False
japão,"['ja', 'pão']",1,oxítona,False
japoneira,"['ja', 'po', 'nei', 'ra']",2,paroxítona,False
