word,syllables,tonic,class,canonic
o,['o'],0,oxítona,False
ó,['ó'],0,oxítona,False
oásis,"['o', 'á', 'sis']",1,paroxítona,False
ob-rogar,"['ob-ro', 'gar']",1,oxítona,False
oba,"['o', 'ba']",0,paroxítona,False
obaudição,"['o', 'bau', 'di', 'ção']",3,oxítona,False
obcecação,"['ob', 'ce', 'ca', 'ção']",3,oxítona,False
obcecada,"['ob', 'ce', 'ca', 'da']",2,paroxítona,False
obcecadamente,"['ob', 'ce', 'ca', 'da', 'men', 'te']",4,paroxítona,False
obcecado,"['ob', 'ce', 'ca', 'do']",2,paroxítona,False
obcecante,"['ob', 'ce', 'can', 'te']",2,paroxítona,False
obcecar,"['ob', 'ce', 'car']",2,oxítona,False
obcomprimido,"['ob', 'com', 'pri', 'mi', 'do']",3,paroxítona,False
obcónico,"['ob', 'có', 'ni', 'co']",1,proparoxítona,False
obcordado,"['ob', 'cor', 'da', 'do']",2,paroxítona,False
obcorrente,"['ob', 'cor', 'ren', 'te']",2,paroxítona,False
obdentado,"['ob', 'den', 'ta', 'do']",2,paroxítona,False
obduração,"['ob', 'du', 'ra', 'ção']",3,oxítona,False
obdurar,"['ob', 'du', 'rar']",2,oxítona,False
obedecer,"['o', 'be', 'de', 'cer']",3,oxítona,False
obedecido,"['o', 'be', 'de', 'ci', 'do']",3,paroxítona,False
obediência,"['o', 'be', 'di', 'ên', 'ci', 'a']",3,proparoxítona,False
obediente,"['o', 'be', 'di', 'en', 'te']",3,paroxítona,False
obedientemente,"['o', 'be', 'di', 'en', 'te', 'men', 'te']",5,paroxítona,False
obelisco,"['o', 'be', 'lis', 'co']",2,paroxítona,False
obesidade,"['o', 'be', 'si', 'da', 'de']",3,paroxítona,False
obeso,"['o', 'be', 'so']",1,paroxítona,False
obfirmado,"['ob', 'fir', 'ma', 'do']",2,paroxítona,False
obfirmar,"['ob', 'fir', 'mar']",2,oxítona,False
obi,"['o', 'bi']",1,oxítona,False
óbice,"['ó', 'bi', 'ce']",0,proparoxítona,False
obidense,"['o', 'bi', 'den', 'se']",2,paroxítona,False
óbito,"['ó', 'bi', 'to']",0,proparoxítona,False
obituário,"['o', 'bi', 'tu', 'á', 'ri', 'o']",3,proparoxítona,False
objeção,"['ob', 'je', 'ção']",2,oxítona,False
