word,syllables,tonic,class,canonic
rã,['rã'],0,oxítona,True
rabaça,"['ra', 'ba', 'ça']",1,paroxítona,True
rabaçal,"['ra', 'ba', 'çal']",2,oxítona,False
rabada,"['ra', 'ba', 'da']",1,paroxítona,True
rabado,"['ra', 'ba', 'do']",1,paroxítona,True
rabanada,"['ra', 'ba', 'na', 'da']",2,paroxítona,True
rabanal,"['ra', 'ba', 'nal']",2,oxítona,False
rabanar,"['ra', 'ba', 'nar']",2,oxítona,False
rabanete,"['ra', 'ba', 'ne', 'te']",2,paroxítona,True
rábano,"['rá', 'ba', 'no']",0,proparoxítona,True
rabão,"['ra', 'bão']",1,oxítona,False
rabear,"['ra', 'be', 'ar']",2,oxítona,False
rabeca,"['ra', 'be', 'ca']",1,paroxítona,True
rabecada,"['ra', 'be', 'ca', 'da']",2,paroxítona,True
rabecão,"['ra', 'be', 'cão']",2,oxítona,False
rabejador,"['ra', 'be', 'ja', 'dor']",3,oxítona,False
rabejar,"['ra', 'be', 'jar']",2,oxítona,False
rabel,"['ra', 'bel']",1,oxítona,False
rabelaisiana,"['ra', 'be', 'lai', 'si', 'a', 'na']",4,paroxítona,False
rabelaisiano,"['ra', 'be', 'lai', 'si', 'a', 'no']",4,paroxítona,False
rabelo,"['ra', 'be', 'lo']",1,paroxítona,True
rabequista,"['ra', 'be', 'quis', 'ta']",2,paroxítona,False
rabeta,"['ra', 'be', 'ta']",1,paroxítona,True
rabi,"['ra', 'bi']",1,oxítona,True
rabia,"['ra', 'bi', 'a']",1,paroxítona,False
rabiar,"['ra', 'bi', 'ar']",2,oxítona,False
rabiça,"['ra', 'bi', 'ça']",1,paroxítona,True
rabicho,"['ra', 'bi', 'cho']",1,paroxítona,False
rábida,"['rá', 'bi', 'da']",0,proparoxítona,True
rabidamente,"['ra', 'bi', 'da', 'men', 'te']",3,paroxítona,False
rábido,"['rá', 'bi', 'do']",0,proparoxítona,True
rabigato,"['ra', 'bi', 'ga', 'to']",2,paroxítona,True
rabil,"['ra', 'bil']",1,oxítona,False
