word,syllables,tonic,class,canonic
u,['u'],0,oxítona,False
úbere,"['ú', 'be', 're']",0,proparoxítona,False
ubérrimo,"['u', 'bér', 'ri', 'mo']",1,proparoxítona,False
ubi,"['u', 'bi']",1,oxítona,False
ubiquamente,"['u', 'bi', 'qua', 'men', 'te']",3,paroxítona,False
ubiquidade,"['u', 'bi', 'qui', 'da', 'de']",3,paroxítona,False
ubíquo,"['u', 'bí', 'quo']",1,paroxítona,False
ucha,"['u', 'cha']",0,paroxítona,False
ucraniana,"['u', 'cra', 'ni', 'a', 'na']",3,paroxítona,False
ucraniano,"['u', 'cra', 'ni', 'a', 'no']",3,paroxítona,False
ucronia,"['u', 'cro', 'ni', 'a']",2,paroxítona,False
udo,"['u', 'do']",0,paroxítona,False
udu,"['u', 'du']",1,oxítona,False
uê,"['u', 'ê']",1,oxítona,False
ué,"['u', 'é']",1,oxítona,False
uf,['uf'],0,oxítona,False
ufa,"['u', 'fa']",0,paroxítona,False
ufanamente,"['u', 'fa', 'na', 'men', 'te']",3,paroxítona,False
ufanar,"['u', 'fa', 'nar']",2,oxítona,False
ufania,"['u', 'fa', 'ni', 'a']",2,paroxítona,False
ufano,"['u', 'fa', 'no']",1,paroxítona,False
ugandês,"['u', 'gan', 'dês']",2,oxítona,False
ugandesa,"['u', 'gan', 'de', 'sa']",2,paroxítona,False
ugar,"['u', 'gar']",1,oxítona,False
uh,['uh'],0,oxítona,False
ui,['ui'],0,oxítona,False
uigure,"['ui', 'gu', 're']",1,paroxítona,False
uísque,"['u', 'ís', 'que']",1,paroxítona,False
uivante,"['ui', 'van', 'te']",1,paroxítona,False
uivar,"['ui', 'var']",1,oxítona,False
uivo,"['ui', 'vo']",0,paroxítona,False
uja,"['u', 'ja']",0,paroxítona,False
úlcera,"['úl', 'ce', 'ra']",0,proparoxítona,False
ulceração,"['ul', 'ce', 'ra', 'ção']",3,oxítona,False
ulcerado,"['ul', 'ce', 'ra', 'do']",2,paroxítona,False
ulcerar,"['ul', 'ce', 'rar']",2,oxítona,False
ulceroso,"['ul', 'ce', 'ro', 'so']",2,paroxítona,False
ulissiponense,"['u', 'lis', 'si', 'po', 'nen', 'se']",4,paroxítona,False
ulmeiro,"['ul', 'mei', 'ro']",1,paroxítona,False
ulterior,"['ul', 'te', 'ri', 'or']",3,oxítona,False
ulteriormente,"['ul', 'te', 'ri', 'or', 'men', 'te']",4,paroxítona,False
última,"['úl', 'ti', 'ma']",0,proparoxítona,False
ultimação,"['ul', 'ti', 'ma', 'ção']",3,oxítona,False
ultimado,"['ul', 'ti', 'ma', 'do']",2,paroxítona,False
ultimamente,"['ul', 'ti', 'ma', 'men', 'te']",3,paroxítona,False
ultimar,"['ul', 'ti', 'mar']",2,oxítona,False
últimas,"['úl', 'ti', 'mas']",0,proparoxítona,False
ultimato,"['ul', 'ti', 'ma', 'to']",2,paroxítona,False
último,"['úl', 'ti', 'mo']",0,proparoxítona,False
ultra,"['ul', 'tra']",0,paroxítona,False
