word,syllables,tonic,class,canonic
wagneriana,"['wag', 'ne', 'ri', 'a', 'na']",3,paroxítona,False
wagneriano,"['wag', 'ne', 'ri', 'a', 'no']",3,paroxítona,False
walkie-talkie,"['wal', 'kie', '-tal', 'kie']",3,oxítona,False
warrant,"['war', 'rant']",0,paroxítona,False
washingtoniano,"['wa', 'shing', 'to', 'ni', 'a', 'no']",4,paroxítona,False
watt,['watt'],0,oxítona,False
web,['web'],0,oxítona,False
weber,"['we', 'ber']",0,paroxítona,False
weberiano,"['we', 'be', 'ri', 'a', 'no']",3,paroxítona,False
western,"['wes', 'tern']",0,paroxítona,False
whiskey,"['whis', 'key']",0,paroxítona,False
whisky,"['whis', 'ky']",0,paroxítona,False
wilsoniano,"['wil', 'so', 'ni', 'a', 'no']",3,paroxítona,False
windsurf,"['wind', 'surf']",0,paroxítona,False
windsurfista,"['wind', 'sur', 'fis', 'ta']",2,paroxítona,False
won,['won'],0,oxítona,False
workshop,"['work', 'shop']",1,oxítona,False
