word,syllables,tonic,class,canonic
e,['e'],0,oxítona,False
e-mail,"['e', 'mail']",1,oxítona,False
ébano,"['é', 'ba', 'no']",0,proparoxítona,False
ébola,"['é', 'bo', 'la']",0,proparoxítona,False
ebonite,"['e', 'bo', 'ni', 'te']",2,paroxítona,False
eborense,"['e', 'bo', 'ren', 'se']",2,paroxítona,False
ébrio,"['é', 'bri', 'o']",0,proparoxítona,False
ebulição,"['e', 'bu', 'li', 'ção']",3,oxítona,False
ebuliente,"['e', 'bu', 'li', 'en', 'te']",3,paroxítona,False
echarpe,"['e', 'char', 'pe']",1,paroxítona,False
écharpe,"['é', 'char', 'pe']",1,paroxítona,False
éclair,"['é', 'clair']",1,oxítona,False
eclampsia,"['e', 'clamp', 'si', 'a']",2,paroxítona,False
eclésia,"['e', 'clé', 'si', 'a']",1,proparoxítona,False
eclesiasticamente,"['e', 'cle', 'si', 'as', 'ti', 'ca', 'men', 'te']",6,paroxítona,False
eclesiástico,"['e', 'cle', 'si', 'ás', 'ti', 'co']",3,proparoxítona,False
eclética,"['e', 'clé', 'ti', 'ca']",1,proparoxítona,False
ecleticamente,"['e', 'cle', 'ti', 'ca', 'men', 'te']",4,paroxítona,False
eclético,"['e', 'clé', 'ti', 'co']",1,proparoxítona,False
ecletismo,"['e', 'cle', 'tis', 'mo']",2,paroxítona,False
eclipsado,"['e', 'clip', 'sa', 'do']",2,paroxítona,False
eclipsar,"['e', 'clip', 'sar']",2,oxítona,False
eclipse,"['e', 'clip', 'se']",1,paroxítona,False
eclíptica,"['e', 'clíp', 'ti', 'ca']",1,proparoxítona,False
eclíptico,"['e', 'clíp', 'ti', 'co']",1,proparoxítona,False
eclodir,"['e', 'clo', 'dir']",2,oxítona,False
écloga,"['é', 'clo', 'ga']",0,proparoxítona,False
eclosão,"['e', 'clo', 'são']",2,oxítona,False
eclusa,"['e', 'clu', 'sa']",1,paroxítona,False
eco,"['e', 'co']",0,paroxítona,False
ecoante,"['e', 'co', 'an', 'te']",2,paroxítona,False
ecoar,"['e', 'co', 'ar']",2,oxítona,False
ecocardiografia,"['e', 'co', 'car', 'di', 'o', 'gra', 'fi', 'a']",6,paroxítona,False
ecocardiograma,"['e', 'co', 'car', 'di', 'o', 'gra', 'ma']",5,paroxítona,False
ecocentro,"['e', 'co', 'cen', 'tro']",2,paroxítona,False
ecodesenvolvimento,"['e', 'co', 'de', 'sen', 'vol', 'vi', 'men', 'to']",6,paroxítona,False
ecoeficiência,"['e', 'co', 'e', 'fi', 'ci', 'ên', 'ci', 'a']",5,proparoxítona,False
ecoencefalograma,"['e', 'co', 'en', 'ce', 'fa', 'lo', 'gra', 'ma']",6,paroxítona,False
ecografia,"['e', 'co', 'gra', 'fi', 'a']",3,paroxítona,False
ecográfico,"['e', 'co', 'grá', 'fi', 'co']",2,proparoxítona,False
ecógrafo,"['e', 'có', 'gra', 'fo']",1,proparoxítona,False
ecograma,"['e', 'co', 'gra', 'ma']",2,paroxítona,False
ecolocação,"['e', 'co', 'lo', 'ca', 'ção']",4,oxítona,False
ecolocador,"['e', 'co', 'lo', 'ca', 'dor']",4,oxítona,False
ecolocalização,"['e', 'co', 'lo', 'ca', 'li', 'za', 'ção']",6,oxítona,False
ecolocalizar,"['e', 'co', 'lo', 'ca', 'li', 'zar']",5,oxítona,False
ecolocalizável,"['e', 'co', 'lo', 'ca', 'li', 'zá', 'vel']",5,paroxítona,False
ecolocar,"['e', 'co', 'lo', 'car']",3,oxítona,False
ecologia,"['e', 'co', 'lo', 'gi', 'a']",3,paroxítona,False
ecologicamente,"['e', 'co', 'lo', 'gi', 'ca', 'men', 'te']",5,paroxítona,False
ecológico,"['e', 'co', 'ló', 'gi', 'co']",2,proparoxítona,False
ecologista,"['e', 'co', 'lo', 'gis', 'ta']",3,paroxítona,False
ecólogo,"['e', 'có', 'lo', 'go']",1,proparoxítona,False
ecométrico,"['e', 'co', 'mé', 'tri', 'co']",2,proparoxítona,False
economato,"['e', 'co', 'no', 'ma', 'to']",3,paroxítona,False
econometria,"['e', 'co', 'no', 'me', 'tri', 'a']",4,paroxítona,False
econométrico,"['e', 'co', 'no', 'mé', 'tri', 'co']",3,proparoxítona,False
