word,syllables,tonic,class,canonic
nababo,"['na', 'ba', 'bo']",1,paroxítona,True
nabal,"['na', 'bal']",1,oxítona,False
nabantina,"['na', 'ban', 'ti', 'na']",2,paroxítona,False
nabantino,"['na', 'ban', 'ti', 'no']",2,paroxítona,False
nabiça,"['na', 'bi', 'ça']",1,paroxítona,True
nabo,"['na', 'bo']",0,paroxítona,True
nação,"['na', 'ção']",1,oxítona,False
nácar,"['ná', 'car']",0,paroxítona,False
nacarado,"['na', 'ca', 'ra', 'do']",2,paroxítona,True
nacarar,"['na', 'ca', 'rar']",2,oxítona,False
nacional,"['na', 'ci', 'o', 'nal']",3,oxítona,False
nacional-sindicalismo,"['na', 'ci', 'o', 'nal', '-sin', 'di', 'ca', 'lis', 'mo']",7,paroxítona,False
nacional-sindicalista,"['na', 'ci', 'o', 'nal', '-sin', 'di', 'ca', 'lis', 'ta']",7,paroxítona,False
nacional-socialismo,"['na', 'ci', 'o', 'nal', '-so', 'ci', 'a', 'lis', 'mo']",7,paroxítona,False
nacional-socialista,"['na', 'ci', 'o', 'nal', '-so', 'ci', 'a', 'lis', 'ta']",7,paroxítona,False
nacionalidade,"['na', 'ci', 'o', 'na', 'li', 'da', 'de']",5,paroxítona,False
nacionalismo,"['na', 'ci', 'o', 'na', 'lis', 'mo']",4,paroxítona,False
nacionalista,"['na', 'ci', 'o', 'na', 'lis', 'ta']",4,paroxítona,False
nacionalização,"['na', 'ci', 'o', 'na', 'li', 'za', 'ção']",6,oxítona,False
nacionalizado,"['na', 'ci', 'o', 'na', 'li', 'za', 'do']",5,paroxítona,False
nacionalizador,"['na', 'ci', 'o', 'na', 'li', 'za', 'dor']",6,oxítona,False
nacionalizar,"['na', 'ci', 'o', 'na', 'li', 'zar']",5,oxítona,False
nacionalmente,"['na', 'ci', 'o', 'nal', 'men', 'te']",4,paroxítona,False
naco,"['na', 'co']",0,paroxítona,True
nada,"['na', 'da']",0,paroxítona,True
nadador,"['na', 'da', 'dor']",2,oxítona,False
nadador-salvador,"['na', 'da', 'dor', '-sal', 'va', 'dor']",5,oxítona,False
nadadora,"['na', 'da', 'do', 'ra']",2,paroxítona,True
nadar,"['na', 'dar']",1,oxítona,False
nádega,"['ná', 'de', 'ga']",0,proparoxítona,True
nadinha,"['na', 'di', 'nha']",1,paroxítona,False
nadir,"['na', 'dir']",1,oxítona,False
nado,"['na', 'do']",0,paroxítona,True
nado-morto,"['na', 'do-', 'mor', 'to']",2,paroxítona,False
nado-vivo,"['na', 'do-', 'vi', 'vo']",2,paroxítona,False
nafta,"['naf', 'ta']",0,paroxítona,False
naftaleno,"['naf', 'ta', 'le', 'no']",2,paroxítona,False
naftalina,"['naf', 'ta', 'li', 'na']",2,paroxítona,False
naga,"['na', 'ga']",0,paroxítona,True
naïf,"['na', 'ïf']",0,paroxítona,False
naïf,"['na', 'ïf']",1,oxítona,False
naifa,"['nai', 'fa']",0,paroxítona,False
naipe,"['nai', 'pe']",0,paroxítona,False
naira,"['nai', 'ra']",0,paroxítona,False
naïve,"['na', 'ï', 've']",1,paroxítona,False
nalga,"['nal', 'ga']",0,paroxítona,False
nalgada,"['nal', 'ga', 'da']",1,paroxítona,False
nalgum,"['nal', 'gum']",1,oxítona,False
namibiano,"['na', 'mi', 'bi', 'a', 'no']",3,paroxítona,False
namoradeira,"['na', 'mo', 'ra', 'dei', 'ra']",3,paroxítona,False
namoradeiro,"['na', 'mo', 'ra', 'dei', 'ro']",3,paroxítona,False
namorado,"['na', 'mo', 'ra', 'do']",2,paroxítona,True
namorador,"['na', 'mo', 'ra', 'dor']",3,oxítona,False
namorar,"['na', 'mo', 'rar']",2,oxítona,False
namoricar,"['na', 'mo', 'ri', 'car']",3,oxítona,False
namorico,"['na', 'mo', 'ri', 'co']",2,paroxítona,True
namoriscar,"['na', 'mo', 'ris', 'car']",3,oxítona,False
namoro,"['na', 'mo', 'ro']",1,paroxítona,True
nana,"['na', 'na']",0,paroxítona,True
nanar,"['na', 'nar']",1,oxítona,False
nandrolona,"['nan', 'dro', 'lo', 'na']",2,paroxítona,False
nandu,"['nan', 'du']",1,oxítona,False
nanismo,"['na', 'nis', 'mo']",1,paroxítona,False
nanja,"['nan', 'ja']",0,paroxítona,False
nano,"['na', 'no']",0,paroxítona,True
nanómetro,"['na', 'nó', 'me', 'tro']",1,proparoxítona,False
nanotecnologia,"['na', 'no', 'tec', 'no', 'lo', 'gi', 'a']",5,paroxítona,False
nanquim,"['nan', 'quim']",1,oxítona,False
não,['não'],0,oxítona,False
naos,['naos'],0,oxítona,False
napa,"['na', 'pa']",0,paroxítona,True
napalm,"['na', 'palm']",1,oxítona,False
naperon,"['na', 'pe', 'ron']",2,oxítona,False
napoleão,"['na', 'po', 'le', 'ão']",3,oxítona,False
napoleónica,"['na', 'po', 'le', 'ó', 'ni', 'ca']",3,proparoxítona,False
napoleonicamente,"['na', 'po', 'le', 'o', 'ni', 'ca', 'men', 'te']",6,paroxítona,False
napoleónico,"['na', 'po', 'le', 'ó', 'ni', 'co']",3,proparoxítona,False
napolitana,"['na', 'po', 'li', 'ta', 'na']",3,paroxítona,True
napolitano,"['na', 'po', 'li', 'ta', 'no']",3,paroxítona,True
naquele,"['na', 'que', 'le']",1,paroxítona,False
naquilo,"['na', 'qui', 'lo']",1,paroxítona,False
narceja,"['nar', 'ce', 'ja']",1,paroxítona,False
narcisar,"['nar', 'ci', 'sar']",2,oxítona,False
narcísico,"['nar', 'cí', 'si', 'co']",1,proparoxítona,False
narcisismo,"['nar', 'ci', 'sis', 'mo']",2,paroxítona,False
narcisista,"['nar', 'ci', 'sis', 'ta']",2,paroxítona,False
narciso,"['nar', 'ci', 'so']",1,paroxítona,False
narcolepsia,"['nar', 'co', 'lep', 'si', 'a']",3,paroxítona,False
narcoléptico,"['nar', 'co', 'lép', 'ti', 'co']",2,proparoxítona,False
narcótico,"['nar', 'có', 'ti', 'co']",1,proparoxítona,False
narcotizar,"['nar', 'co', 'ti', 'zar']",3,oxítona,False
narcotraficante,"['nar', 'co', 'tra', 'fi', 'can', 'te']",4,paroxítona,False
narcotráfico,"['nar', 'co', 'trá', 'fi', 'co']",2,proparoxítona,False
nardo,"['nar', 'do']",0,paroxítona,False
narguilé,"['nar', 'gui', 'lé']",2,oxítona,False
narigão,"['na', 'ri', 'gão']",2,oxítona,False
narigudo,"['na', 'ri', 'gu', 'do']",2,paroxítona,True
narina,"['na', 'ri', 'na']",1,paroxítona,True
nariz,"['na', 'riz']",1,oxítona,False
narizinho,"['na', 'ri', 'zi', 'nho']",2,paroxítona,False
narração,"['nar', 'ra', 'ção']",2,oxítona,False
narrado,"['nar', 'ra', 'do']",1,paroxítona,False
narrador,"['nar', 'ra', 'dor']",2,oxítona,False
narradora,"['nar', 'ra', 'do', 'ra']",2,paroxítona,False
narrar,"['nar', 'rar']",1,oxítona,False
narrativa,"['nar', 'ra', 'ti', 'va']",2,paroxítona,False
narrativamente,"['nar', 'ra', 'ti', 'va', 'men', 'te']",4,paroxítona,False
narratividade,"['nar', 'ra', 'ti', 'vi', 'da', 'de']",4,paroxítona,False
narrativo,"['nar', 'ra', 'ti', 'vo']",2,paroxítona,False
narratologia,"['nar', 'ra', 'to', 'lo', 'gi', 'a']",4,paroxítona,False
nasal,"['na', 'sal']",1,oxítona,False
nasalado,"['na', 'sa', 'la', 'do']",2,paroxítona,True
nasalar,"['na', 'sa', 'lar']",2,oxítona,False
nasalmente,"['na', 'sal', 'men', 'te']",2,paroxítona,False
nascença,"['nas', 'cen', 'ça']",1,paroxítona,False
nascente,"['nas', 'cen', 'te']",1,paroxítona,False
nascer,"['nas', 'cer']",1,oxítona,False
nascida,"['nas', 'ci', 'da']",1,paroxítona,False
nascido,"['nas', 'ci', 'do']",1,paroxítona,False
nascimento,"['nas', 'ci', 'men', 'to']",2,paroxítona,False
nascituro,"['nas', 'ci', 'tu', 'ro']",2,paroxítona,False
nassa,"['nas', 'sa']",0,paroxítona,False
nastro,"['nas', 'tro']",0,paroxítona,False
nata,"['na', 'ta']",0,paroxítona,True
natação,"['na', 'ta', 'ção']",2,oxítona,False
natal,"['na', 'tal']",1,oxítona,False
natalício,"['na', 'ta', 'lí', 'ci', 'o']",2,proparoxítona,False
natalidade,"['na', 'ta', 'li', 'da', 'de']",3,paroxítona,True
natalista,"['na', 'ta', 'lis', 'ta']",2,paroxítona,False
natário,"['na', 'tá', 'ri', 'o']",1,proparoxítona,False
natatório,"['na', 'ta', 'tó', 'ri', 'o']",2,proparoxítona,False
nateiro,"['na', 'tei', 'ro']",1,paroxítona,False
nativa,"['na', 'ti', 'va']",1,paroxítona,True
natividade,"['na', 'ti', 'vi', 'da', 'de']",3,paroxítona,True
nativo,"['na', 'ti', 'vo']",1,paroxítona,True
nato,"['na', 'to']",0,paroxítona,True
natura,"['na', 'tu', 'ra']",1,paroxítona,True
natural,"['na', 'tu', 'ral']",2,oxítona,False
naturalidade,"['na', 'tu', 'ra', 'li', 'da', 'de']",4,paroxítona,True
naturalismo,"['na', 'tu', 'ra', 'lis', 'mo']",3,paroxítona,False
naturalista,"['na', 'tu', 'ra', 'lis', 'ta']",3,paroxítona,False
