word,syllables,tonic,class,canonic
quadra,"['qua', 'dra']",0,paroxítona,False
quadradinho,"['qua', 'dra', 'di', 'nho']",2,paroxítona,False
quadrado,"['qua', 'dra', 'do']",1,paroxítona,False
quadragenário,"['qua', 'dra', 'ge', 'ná', 'ri', 'o']",3,proparoxítona,False
quadragésima,"['qua', 'dra', 'gé', 'si', 'ma']",2,proparoxítona,False
quadragésimo,"['qua', 'dra', 'gé', 'si', 'mo']",2,proparoxítona,False
quadrangular,"['qua', 'dran', 'gu', 'lar']",3,oxítona,False
quadrante,"['qua', 'dran', 'te']",1,paroxítona,False
quadrar,"['qua', 'drar']",1,oxítona,False
quadratura,"['qua', 'dra', 'tu', 'ra']",2,paroxítona,False
quadricromia,"['qua', 'dri', 'cro', 'mi', 'a']",3,paroxítona,False
quadrícula,"['qua', 'drí', 'cu', 'la']",1,proparoxítona,False
quadriculado,"['qua', 'dri', 'cu', 'la', 'do']",3,paroxítona,False
quadricular,"['qua', 'dri', 'cu', 'lar']",3,oxítona,False
quadrienal,"['qua', 'dri', 'e', 'nal']",3,oxítona,False
quadrienalmente,"['qua', 'dri', 'e', 'nal', 'men', 'te']",4,paroxítona,False
quadriénio,"['qua', 'dri', 'é', 'ni', 'o']",2,proparoxítona,False
quadrifonia,"['qua', 'dri', 'fo', 'ni', 'a']",3,paroxítona,False
quadriga,"['qua', 'dri', 'ga']",1,paroxítona,False
quadril,"['qua', 'dril']",1,oxítona,False
quadrilateral,"['qua', 'dri', 'la', 'te', 'ral']",4,oxítona,False
quadrilátero,"['qua', 'dri', 'lá', 'te', 'ro']",2,proparoxítona,False
quadrilha,"['qua', 'dri', 'lha']",1,paroxítona,False
quadrilhar,"['qua', 'dri', 'lhar']",2,oxítona,False
quadrilheiro,"['qua', 'dri', 'lhei', 'ro']",2,paroxítona,False
quadrimestral,"['qua', 'dri', 'mes', 'tral']",3,oxítona,False
quadrimestralmente,"['qua', 'dri', 'mes', 'tral', 'men', 'te']",4,paroxítona,False
quadrimestre,"['qua', 'dri', 'mes', 'tre']",2,paroxítona,False
quadrimotor,"['qua', 'dri', 'mo', 'tor']",3,oxítona,False
quadripartido,"['qua', 'dri', 'par', 'ti', 'do']",3,paroxítona,False
quadro,"['qua', 'dro']",0,paroxítona,False
quadrúpede,"['qua', 'drú', 'pe', 'de']",1,proparoxítona,False
quadruplar,"['qua', 'dru', 'plar']",2,oxítona,False
quadruplicação,"['qua', 'dru', 'pli', 'ca', 'ção']",4,oxítona,False
quadruplicar,"['qua', 'dru', 'pli', 'car']",3,oxítona,False
quádruplo,"['quá', 'dru', 'plo']",0,proparoxítona,False
qual,['qual'],0,oxítona,False
qualidade,"['qua', 'li', 'da', 'de']",2,paroxítona,False
qualificação,"['qua', 'li', 'fi', 'ca', 'ção']",4,oxítona,False
qualificadamente,"['qua', 'li', 'fi', 'ca', 'da', 'men', 'te']",5,paroxítona,False
qualificado,"['qua', 'li', 'fi', 'ca', 'do']",3,paroxítona,False
qualificador,"['qua', 'li', 'fi', 'ca', 'dor']",4,oxítona,False
qualificar,"['qua', 'li', 'fi', 'car']",3,oxítona,False
qualificativamente,"['qua', 'li', 'fi', 'ca', 'ti', 'va', 'men', 'te']",6,paroxítona,False
qualificativo,"['qua', 'li', 'fi', 'ca', 'ti', 'vo']",4,paroxítona,False
qualificável,"['qua', 'li', 'fi', 'cá', 'vel']",3,paroxítona,False
