word,syllables,tonic,class,canonic
sã,['sã'],0,oxítona,True
saariano,"['sa', 'a', 'ri', 'a', 'no']",3,paroxítona,False
saba,"['sa', 'ba']",0,paroxítona,True
sábado,"['sá', 'ba', 'do']",0,proparoxítona,True
sabão,"['sa', 'bão']",1,oxítona,False
sabat,"['sa', 'bat']",1,oxítona,False
sabateno,"['sa', 'ba', 'te', 'no']",2,paroxítona,True
sabático,"['sa', 'bá', 'ti', 'co']",1,proparoxítona,True
sabatina,"['sa', 'ba', 'ti', 'na']",2,paroxítona,True
sabatinar,"['sa', 'ba', 'ti', 'nar']",3,oxítona,False
sabatino,"['sa', 'ba', 'ti', 'no']",2,paroxítona,True
sabe,"['sa', 'be']",0,paroxítona,True
sabedor,"['sa', 'be', 'dor']",2,oxítona,False
sabedora,"['sa', 'be', 'do', 'ra']",2,paroxítona,True
sabedoramente,"['sa', 'be', 'do', 'ra', 'men', 'te']",4,paroxítona,False
sabedoria,"['sa', 'be', 'do', 'ri', 'a']",3,paroxítona,False
sabença,"['sa', 'ben', 'ça']",1,paroxítona,False
saber,"['sa', 'ber']",1,oxítona,False
saber-fazer,"['sa', 'ber', '-fa', 'zer']",3,oxítona,False
sabiá,"['sa', 'bi', 'á']",2,oxítona,False
sábia,"['sá', 'bi', 'a']",0,proparoxítona,False
sabiamente,"['sa', 'bi', 'a', 'men', 'te']",3,paroxítona,False
sabichão,"['sa', 'bi', 'chão']",2,oxítona,False
sabichona,"['sa', 'bi', 'cho', 'na']",2,paroxítona,False
sabida,"['sa', 'bi', 'da']",1,paroxítona,True
sabidamente,"['sa', 'bi', 'da', 'men', 'te']",3,paroxítona,False
sabidas,"['sa', 'bi', 'das']",1,paroxítona,False
sabido,"['sa', 'bi', 'do']",1,paroxítona,True
sabina,"['sa', 'bi', 'na']",1,paroxítona,True
sabino,"['sa', 'bi', 'no']",1,paroxítona,True
sábio,"['sá', 'bi', 'o']",0,proparoxítona,False
sable,"['sa', 'ble']",0,paroxítona,False
saboaria,"['sa', 'bo', 'a', 'ri', 'a']",3,paroxítona,False
saboga,"['sa', 'bo', 'ga']",1,paroxítona,True
saboia,"['sa', 'boi', 'a']",1,paroxítona,False
sabonete,"['sa', 'bo', 'ne', 'te']",2,paroxítona,True
saboneteira,"['sa', 'bo', 'ne', 'tei', 'ra']",3,paroxítona,False
sabor,"['sa', 'bor']",1,oxítona,False
saborear,"['sa', 'bo', 're', 'ar']",3,oxítona,False
saborido,"['sa', 'bo', 'ri', 'do']",2,paroxítona,True
saborosamente,"['sa', 'bo', 'ro', 'sa', 'men', 'te']",4,paroxítona,False
saboroso,"['sa', 'bo', 'ro', 'so']",2,paroxítona,True
sabotador,"['sa', 'bo', 'ta', 'dor']",3,oxítona,False
sabotagem,"['sa', 'bo', 'ta', 'gem']",2,paroxítona,False
sabotar,"['sa', 'bo', 'tar']",2,oxítona,False
sabra,"['sa', 'bra']",0,paroxítona,False
