word,syllables,tonic,class,canonic
tá,['tá'],0,oxítona,True
taba,"['ta', 'ba']",0,paroxítona,True
tabacaria,"['ta', 'ba', 'ca', 'ri', 'a']",3,paroxítona,False
tabaco,"['ta', 'ba', 'co']",1,paroxítona,True
tabagismo,"['ta', 'ba', 'gis', 'mo']",2,paroxítona,False
tabagista,"['ta', 'ba', 'gis', 'ta']",2,paroxítona,False
tabagístico,"['ta', 'ba', 'gís', 'ti', 'co']",2,proparoxítona,False
tabanca,"['ta', 'ban', 'ca']",1,paroxítona,False
tabaqueira,"['ta', 'ba', 'quei', 'ra']",2,paroxítona,False
tabaqueiro,"['ta', 'ba', 'quei', 'ro']",2,paroxítona,False
tabatinga,"['ta', 'ba', 'tin', 'ga']",2,paroxítona,False
tabefe,"['ta', 'be', 'fe']",1,paroxítona,True
tabela,"['ta', 'be', 'la']",1,paroxítona,True
tabelado,"['ta', 'be', 'la', 'do']",2,paroxítona,True
tabelar,"['ta', 'be', 'lar']",2,oxítona,False
tabelião,"['ta', 'be', 'li', 'ão']",3,oxítona,False
tabelinha,"['ta', 'be', 'li', 'nha']",2,paroxítona,False
taberna,"['ta', 'ber', 'na']",1,paroxítona,False
tabernáculo,"['ta', 'ber', 'ná', 'cu', 'lo']",2,proparoxítona,False
taberneira,"['ta', 'ber', 'nei', 'ra']",2,paroxítona,False
taberneiro,"['ta', 'ber', 'nei', 'ro']",2,paroxítona,False
tabicar,"['ta', 'bi', 'car']",2,oxítona,False
tabique,"['ta', 'bi', 'que']",1,paroxítona,False
tabla,"['ta', 'bla']",0,paroxítona,False
tablado,"['ta', 'bla', 'do']",1,paroxítona,False
tablete,"['ta', 'ble', 'te']",1,paroxítona,False
tablier,"['ta', 'blier']",1,oxítona,False
tabloide,"['ta', 'bloi', 'de']",1,paroxítona,False
tabloidização,"['ta', 'bloi', 'di', 'za', 'ção']",4,oxítona,False
tabo,"['ta', 'bo']",0,paroxítona,True
tabu,"['ta', 'bu']",1,oxítona,True
tábua,"['tá', 'bu', 'a']",0,proparoxítona,False
tabua,"['ta', 'bu', 'a']",1,paroxítona,False
tabuada,"['ta', 'bu', 'a', 'da']",2,paroxítona,False
tabuado,"['ta', 'bu', 'a', 'do']",2,paroxítona,False
tabuão,"['ta', 'bu', 'ão']",2,oxítona,False
tabuense,"['ta', 'bu', 'en', 'se']",2,paroxítona,False
tabuinha,"['ta', 'bu', 'i', 'nha']",2,paroxítona,False
tabular,"['ta', 'bu', 'lar']",2,oxítona,False
tabuleiro,"['ta', 'bu', 'lei', 'ro']",2,paroxítona,False
tabuleta,"['ta', 'bu', 'le', 'ta']",2,paroxítona,True
taça,"['ta', 'ça']",0,paroxítona,True
taca,"['ta', 'ca']",0,paroxítona,True
tacada,"['ta', 'ca', 'da']",1,paroxítona,True
tacanhamente,"['ta', 'ca', 'nha', 'men', 'te']",3,paroxítona,False
tacanhez,"['ta', 'ca', 'nhez']",2,oxítona,False
tacanho,"['ta', 'ca', 'nho']",1,paroxítona,False
tacão,"['ta', 'cão']",1,oxítona,False
tacar,"['ta', 'car']",1,oxítona,False
tacha,"['ta', 'cha']",0,paroxítona,False
tachada,"['ta', 'cha', 'da']",1,paroxítona,False
tachado,"['ta', 'cha', 'do']",1,paroxítona,False
tachão,"['ta', 'chão']",1,oxítona,False
tachar,"['ta', 'char']",1,oxítona,False
tachismo,"['ta', 'chis', 'mo']",1,paroxítona,False
tachista,"['ta', 'chis', 'ta']",1,paroxítona,False
tacho,"['ta', 'cho']",0,paroxítona,False
tacitamente,"['ta', 'ci', 'ta', 'men', 'te']",3,paroxítona,False
tácito,"['tá', 'ci', 'to']",0,proparoxítona,True
taciturnamente,"['ta', 'ci', 'tur', 'na', 'men', 'te']",4,paroxítona,False
taciturno,"['ta', 'ci', 'tur', 'no']",2,paroxítona,False
taco,"['ta', 'co']",0,paroxítona,True
tacógrafo,"['ta', 'có', 'gra', 'fo']",1,proparoxítona,False
tacteante,"['tac', 'te', 'an', 'te']",2,paroxítona,False
tactear,"['tac', 'te', 'ar']",2,oxítona,False
táctica,"['tác', 'ti', 'ca']",0,proparoxítona,False
tacticamente,"['tac', 'ti', 'ca', 'men', 'te']",3,paroxítona,False
táctico,"['tác', 'ti', 'co']",0,proparoxítona,False
táctil,"['tác', 'til']",0,paroxítona,False
tactilidade,"['tac', 'ti', 'li', 'da', 'de']",3,paroxítona,False
tactilmente,"['tac', 'til', 'men', 'te']",2,paroxítona,False
tacto,"['tac', 'to']",0,paroxítona,False
tacula,"['ta', 'cu', 'la']",1,paroxítona,True
taekwondo,"['ta', 'ek', 'won', 'do']",2,paroxítona,False
tael,"['ta', 'el']",1,oxítona,False
tafetá,"['ta', 'fe', 'tá']",2,oxítona,True
tagana,"['ta', 'ga', 'na']",1,paroxítona,True
tagarela,"['ta', 'ga', 're', 'la']",2,paroxítona,True
tagarelar,"['ta', 'ga', 're', 'lar']",3,oxítona,False
tagarelice,"['ta', 'ga', 're', 'li', 'ce']",3,paroxítona,True
tagarra,"['ta', 'gar', 'ra']",1,paroxítona,False
tágide,"['tá', 'gi', 'de']",0,proparoxítona,True
tai,['tai'],0,oxítona,False
taifa,"['tai', 'fa']",0,paroxítona,False
taiga,"['tai', 'ga']",0,paroxítona,False
tailandês,"['tai', 'lan', 'dês']",2,oxítona,False
tailandesa,"['tai', 'lan', 'de', 'sa']",2,paroxítona,False
tailleur,"['tail', 'leur']",1,oxítona,False
taina,"['tai', 'na']",0,paroxítona,False
tainar,"['tai', 'nar']",1,oxítona,False
tainha,"['ta', 'i', 'nha']",1,paroxítona,False
taipa,"['tai', 'pa']",0,paroxítona,False
taipal,"['tai', 'pal']",1,oxítona,False
taipar,"['tai', 'par']",1,oxítona,False
taira,"['tai', 'ra']",0,paroxítona,False
tais,['tais'],0,oxítona,False
taitiana,"['tai', 'ti', 'a', 'na']",2,paroxítona,False
taitiano,"['tai', 'ti', 'a', 'no']",2,paroxítona,False
taiwanês,"['tai', 'wa', 'nês']",2,oxítona,False
taiwanesa,"['tai', 'wa', 'ne', 'sa']",2,paroxítona,False
tajique,"['ta', 'ji', 'que']",1,paroxítona,False
taka,"['ta', 'ka']",0,paroxítona,True
take,"['ta', 'ke']",0,paroxítona,True
tal,['tal'],0,oxítona,False
tala,"['ta', 'la']",0,paroxítona,True
tálamo,"['tá', 'la', 'mo']",0,proparoxítona,True
talante,"['ta', 'lan', 'te']",1,paroxítona,False
talão,"['ta', 'lão']",1,oxítona,False
talar,"['ta', 'lar']",1,oxítona,False
talassa,"['ta', 'las', 'sa']",1,paroxítona,False
talassemia,"['ta', 'las', 'se', 'mi', 'a']",3,paroxítona,False
talassoterapia,"['ta', 'las', 'so', 'te', 'ra', 'pi', 'a']",5,paroxítona,False
talco,"['tal', 'co']",0,paroxítona,False
talento,"['ta', 'len', 'to']",1,paroxítona,False
talentosamente,"['ta', 'len', 'to', 'sa', 'men', 'te']",4,paroxítona,False
talentoso,"['ta', 'len', 'to', 'so']",2,paroxítona,False
talha,"['ta', 'lha']",0,paroxítona,False
talhada,"['ta', 'lha', 'da']",1,paroxítona,False
talhadia,"['ta', 'lha', 'di', 'a']",2,paroxítona,False
talhado,"['ta', 'lha', 'do']",1,paroxítona,False
talhante,"['ta', 'lhan', 'te']",1,paroxítona,False
talhão,"['ta', 'lhão']",1,oxítona,False
talhar,"['ta', 'lhar']",1,oxítona,False
talharim,"['ta', 'lha', 'rim']",2,oxítona,False
talhe,"['ta', 'lhe']",0,paroxítona,False
talher,"['ta', 'lher']",1,oxítona,False
talhinha,"['ta', 'lhi', 'nha']",1,paroxítona,False
talho,"['ta', 'lho']",0,paroxítona,False
talião,"['ta', 'li', 'ão']",2,oxítona,False
talibã,"['ta', 'li', 'bã']",2,oxítona,True
taliban,"['ta', 'li', 'ban']",2,oxítona,False
talidomida,"['ta', 'li', 'do', 'mi', 'da']",3,paroxítona,True
tálio,"['tá', 'li', 'o']",0,proparoxítona,False
talisca,"['ta', 'lis', 'ca']",1,paroxítona,False
talismã,"['ta', 'lis', 'mã']",2,oxítona,False
talk-show,"['talk', 'show']",1,oxítona,False
talmúdico,"['tal', 'mú', 'di', 'co']",1,proparoxítona,False
talmudismo,"['tal', 'mu', 'dis', 'mo']",2,paroxítona,False
talo,"['ta', 'lo']",0,paroxítona,True
taluda,"['ta', 'lu', 'da']",1,paroxítona,True
taludar,"['ta', 'lu', 'dar']",2,oxítona,False
talude,"['ta', 'lu', 'de']",1,paroxítona,True
taludo,"['ta', 'lu', 'do']",1,paroxítona,True
talvez,"['tal', 'vez']",1,oxítona,False
tamanca,"['ta', 'man', 'ca']",1,paroxítona,False
tamanco,"['ta', 'man', 'co']",1,paroxítona,False
tamanhão,"['ta', 'ma', 'nhão']",2,oxítona,False
tamanhinho,"['ta', 'ma', 'nhi', 'nho']",2,paroxítona,False
tamanho,"['ta', 'ma', 'nho']",1,paroxítona,False
tamanqueiro,"['ta', 'man', 'quei', 'ro']",2,paroxítona,False
tamanquinha,"['ta', 'man', 'qui', 'nha']",2,paroxítona,False
tâmara,"['tâ', 'ma', 'ra']",0,proparoxítona,True
tamareira,"['ta', 'ma', 'rei', 'ra']",2,paroxítona,False
tamargueira,"['ta', 'mar', 'guei', 'ra']",2,paroxítona,False
tamarindo,"['ta', 'ma', 'rin', 'do']",2,paroxítona,False
tamariz,"['ta', 'ma', 'riz']",2,oxítona,False
também,"['tam', 'bém']",1,oxítona,False
tambo,"['tam', 'bo']",0,paroxítona,False
tambor,"['tam', 'bor']",1,oxítona,False
tamborete,"['tam', 'bo', 're', 'te']",2,paroxítona,False
tamboril,"['tam', 'bo', 'ril']",2,oxítona,False
tamborilar,"['tam', 'bo', 'ri', 'lar']",3,oxítona,False
tamborileiro,"['tam', 'bo', 'ri', 'lei', 'ro']",3,paroxítona,False
tamborim,"['tam', 'bo', 'rim']",2,oxítona,False
tameira,"['ta', 'mei', 'ra']",1,paroxítona,False
tâmil,"['tâ', 'mil']",0,paroxítona,False
tamis,"['ta', 'mis']",1,oxítona,False
tamisar,"['ta', 'mi', 'sar']",2,oxítona,False
tampa,"['tam', 'pa']",0,paroxítona,False
tampão,"['tam', 'pão']",1,oxítona,False
tampar,"['tam', 'par']",1,oxítona,False
tampo,"['tam', 'po']",0,paroxítona,False
tamponamento,"['tam', 'po', 'na', 'men', 'to']",3,paroxítona,False
tamponar,"['tam', 'po', 'nar']",2,oxítona,False
tampouco,"['tam', 'pou', 'co']",1,paroxítona,False
tanas,"['ta', 'nas']",0,paroxítona,False
tanato,"['ta', 'na', 'to']",1,paroxítona,True
tanatologia,"['ta', 'na', 'to', 'lo', 'gi', 'a']",4,paroxítona,False
tancredo,"['tan', 'cre', 'do']",1,paroxítona,False
tandem,"['tan', 'dem']",0,paroxítona,False
tando,"['tan', 'do']",0,paroxítona,False
tanga,"['tan', 'ga']",0,paroxítona,False
tanganho,"['tan', 'ga', 'nho']",1,paroxítona,False
tangar,"['tan', 'gar']",1,oxítona,False
tangará,"['tan', 'ga', 'rá']",2,oxítona,False
tangência,"['tan', 'gên', 'ci', 'a']",1,proparoxítona,False
tangencial,"['tan', 'gen', 'ci', 'al']",3,oxítona,False
tangencialmente,"['tan', 'gen', 'ci', 'al', 'men', 'te']",4,paroxítona,False
tangenciar,"['tan', 'gen', 'ci', 'ar']",3,oxítona,False
tangente,"['tan', 'gen', 'te']",1,paroxítona,False
tanger,"['tan', 'ger']",1,oxítona,False
tangerina,"['tan', 'ge', 'ri', 'na']",2,paroxítona,False
tangerino,"['tan', 'ge', 'ri', 'no']",2,paroxítona,False
tangibilidade,"['tan', 'gi', 'bi', 'li', 'da', 'de']",4,paroxítona,False
tangível,"['tan', 'gí', 'vel']",1,paroxítona,False
tangivelmente,"['tan', 'gi', 'vel', 'men', 'te']",3,paroxítona,False
tango,"['tan', 'go']",0,paroxítona,False
tanguista,"['tan', 'guis', 'ta']",1,paroxítona,False
tani,"['ta', 'ni']",1,oxítona,True
taninar,"['ta', 'ni', 'nar']",2,oxítona,False
tanino,"['ta', 'ni', 'no']",1,paroxítona,True
taninoso,"['ta', 'ni', 'no', 'so']",2,paroxítona,True
tanja,"['tan', 'ja']",0,paroxítona,False
tanoar,"['ta', 'no', 'ar']",2,oxítona,False
tanoaria,"['ta', 'no', 'a', 'ri', 'a']",3,paroxítona,False
tanoeiro,"['ta', 'no', 'ei', 'ro']",2,paroxítona,False
tanque,"['tan', 'que']",0,paroxítona,False
tanso,"['tan', 'so']",0,paroxítona,False
tantã,"['tan', 'tã']",1,oxítona,False
tântalo,"['tân', 'ta', 'lo']",0,proparoxítona,False
tanto,"['tan', 'to']",0,paroxítona,False
tantra,"['tan', 'tra']",0,paroxítona,False
tântrico,"['tân', 'tri', 'co']",0,proparoxítona,False
tantrismo,"['tan', 'tris', 'mo']",1,paroxítona,False
tanzaniana,"['tan', 'za', 'ni', 'a', 'na']",3,paroxítona,False
tanzaniano,"['tan', 'za', 'ni', 'a', 'no']",3,paroxítona,False
tao,['tao'],0,oxítona,False
tão,['tão'],0,oxítona,False
tão-pouco,"['tão', 'pou', 'co']",1,paroxítona,False
taoismo,"['tao', 'is', 'mo']",1,paroxítona,False
taoista,"['ta', 'ois', 'ta']",1,paroxítona,False
tapa,"['ta', 'pa']",0,paroxítona,True
tapa-buracos,"['ta', 'pa-bu', 'ra', 'cos']",2,paroxítona,False
tapa-sexo,"['ta', 'pa-', 'se', 'xo']",2,paroxítona,False
tapa-sol,"['ta', 'pa-', 'sol']",2,oxítona,False
tapada,"['ta', 'pa', 'da']",1,paroxítona,True
tapadão,"['ta', 'pa', 'dão']",2,oxítona,False
tapado,"['ta', 'pa', 'do']",1,paroxítona,True
tapajó,"['ta', 'pa', 'jó']",2,oxítona,True
tapamento,"['ta', 'pa', 'men', 'to']",2,paroxítona,False
tapar,"['ta', 'par']",1,oxítona,False
tapear,"['ta', 'pe', 'ar']",2,oxítona,False
tapeçar,"['ta', 'pe', 'çar']",2,oxítona,False
tapeçaria,"['ta', 'pe', 'ça', 'ri', 'a']",3,paroxítona,False
tapeceiro,"['ta', 'pe', 'cei', 'ro']",2,paroxítona,False
tapetar,"['ta', 'pe', 'tar']",2,oxítona,False
tapete,"['ta', 'pe', 'te']",1,paroxítona,True
tapinha,"['ta', 'pi', 'nha']",1,paroxítona,False
tapioca,"['ta', 'pi', 'o', 'ca']",2,paroxítona,False
tapir,"['ta', 'pir']",1,oxítona,False
tapo,"['ta', 'po']",0,paroxítona,True
tapume,"['ta', 'pu', 'me']",1,paroxítona,True
taquicardia,"['ta', 'qui', 'car', 'di', 'a']",3,paroxítona,False
taquímetro,"['ta', 'quí', 'me', 'tro']",1,proparoxítona,False
tara,"['ta', 'ra']",0,paroxítona,True
tarada,"['ta', 'ra', 'da']",1,paroxítona,True
tarado,"['ta', 'ra', 'do']",1,paroxítona,True
tarambola,"['ta', 'ram', 'bo', 'la']",2,paroxítona,False
tarantela,"['ta', 'ran', 'te', 'la']",2,paroxítona,False
tarântula,"['ta', 'rân', 'tu', 'la']",1,proparoxítona,False
