word,syllables,tonic,class,canonic
kafkiana,"['kaf', 'ki', 'a', 'na']",2,paroxítona,False
kafkiano,"['kaf', 'ki', 'a', 'no']",2,paroxítona,False
kamikaze,"['ka', 'mi', 'ka', 'ze']",2,paroxítona,True
kantiana,"['kan', 'ti', 'a', 'na']",2,paroxítona,False
kantiano,"['kan', 'ti', 'a', 'no']",2,paroxítona,False
karaoke,"['ka', 'ra', 'o', 'ke']",2,paroxítona,False
karaté,"['ka', 'ra', 'té']",2,oxítona,True
karateca,"['ka', 'ra', 'te', 'ca']",2,paroxítona,True
karbovanet,"['kar', 'bo', 'va', 'net']",3,oxítona,False
kart,['kart'],0,oxítona,False
karting,"['kar', 'ting']",0,paroxítona,False
kartódromo,"['kar', 'tó', 'dro', 'mo']",1,proparoxítona,False
kayak,"['kay', 'ak']",1,oxítona,False
kelvin,"['kel', 'vin']",1,oxítona,False
kepleriano,"['ke', 'ple', 'ri', 'a', 'no']",3,paroxítona,False
ketchup,"['ket', 'chup']",0,paroxítona,False
keynesianismo,"['key', 'ne', 'si', 'a', 'nis', 'mo']",4,paroxítona,False
kibutz,"['ki', 'butz']",1,oxítona,False
kickboxer,"['kick', 'bo', 'xer']",1,paroxítona,False
kickboxing,"['kick', 'bo', 'xing']",1,paroxítona,False
kilobyte,"['ki', 'lo', 'by', 'te']",2,paroxítona,False
kilohertz,"['ki', 'lo', 'hertz']",2,oxítona,False
kilowatt,"['ki', 'lo', 'watt']",1,paroxítona,False
kilowatt-hora,"['ki', 'lo', 'watt-', 'ho', 'ra']",3,paroxítona,False
kilt,['kilt'],0,oxítona,False
kimono,"['ki', 'mo', 'no']",1,paroxítona,True
kina,"['ki', 'na']",0,paroxítona,True
king,['king'],0,oxítona,False
kip,['kip'],0,oxítona,False
kirsch,['kirsch'],0,oxítona,False
kit,['kit'],0,oxítona,False
kitchenette,"['kit', 'che', 'net', 'te']",2,paroxítona,False
kitsch,['kitsch'],0,oxítona,False
kiwi,"['ki', 'wi']",1,oxítona,True
knock-out,"['knock', 'out']",1,oxítona,False
know-how,"['know', 'how']",1,oxítona,False
kosovar,"['ko', 'so', 'var']",2,oxítona,False
koweitiano,"['ko', 'wei', 'ti', 'a', 'no']",3,paroxítona,False
kremlin,"['krem', 'lin']",0,paroxítona,False
krill,['krill'],0,oxítona,False
kuna,"['ku', 'na']",0,paroxítona,True
kung-fu,"['kung', 'fu']",1,oxítona,False
kuru,"['ku', 'ru']",1,oxítona,True
kuwaitiana,"['ku', 'wai', 'ti', 'a', 'na']",3,paroxítona,False
kuwaitiano,"['ku', 'wai', 'ti', 'a', 'no']",3,paroxítona,False
kwacha,"['kwa', 'cha']",0,paroxítona,False
kwanza,"['kwan', 'za']",0,paroxítona,False
