word,syllables,tonic,class,canonic
má,['má'],0,oxítona,True
má-criação,"['má', '-cri', 'a', 'ção']",3,oxítona,False
má-fé,"['má', 'fé']",1,oxítona,True
má-língua,"['má', 'lín', 'gua']",1,paroxítona,False
maboque,"['ma', 'bo', 'que']",1,paroxítona,False
mabuba,"['ma', 'bu', 'ba']",1,paroxítona,True
mabunda,"['ma', 'bun', 'da']",1,paroxítona,False
maca,"['ma', 'ca']",0,paroxítona,True
maçã,"['ma', 'çã']",1,oxítona,True
maça,"['ma', 'ça']",0,paroxítona,True
maçã de Adão,"['ma', 'çã', ' de A', 'dão']",3,oxítona,False
macabeu,"['ma', 'ca', 'beu']",2,oxítona,False
macabramente,"['ma', 'ca', 'bra', 'men', 'te']",3,paroxítona,False
macabro,"['ma', 'ca', 'bro']",1,paroxítona,False
macaca,"['ma', 'ca', 'ca']",1,paroxítona,True
macacada,"['ma', 'ca', 'ca', 'da']",2,paroxítona,True
macacão,"['ma', 'ca', 'cão']",2,oxítona,False
macaco,"['ma', 'ca', 'co']",1,paroxítona,True
maçada,"['ma', 'ça', 'da']",1,paroxítona,True
macadame,"['ma', 'ca', 'da', 'me']",2,paroxítona,True
maçado,"['ma', 'ça', 'do']",1,paroxítona,True
maçador,"['ma', 'ça', 'dor']",2,oxítona,False
maçadora,"['ma', 'ça', 'do', 'ra']",2,paroxítona,True
maçadoria,"['ma', 'ça', 'do', 'ri', 'a']",3,paroxítona,False
macaense,"['ma', 'ca', 'en', 'se']",2,paroxítona,False
maçagem,"['ma', 'ça', 'gem']",1,paroxítona,False
macaio,"['ma', 'cai', 'o']",1,paroxítona,False
macaísta,"['ma', 'ca', 'ís', 'ta']",2,paroxítona,False
maçal,"['ma', 'çal']",1,oxítona,False
macala,"['ma', 'ca', 'la']",1,paroxítona,True
macambúzio,"['ma', 'cam', 'bú', 'zi', 'o']",2,proparoxítona,False
maçaneta,"['ma', 'ça', 'ne', 'ta']",2,paroxítona,True
mação,"['ma', 'ção']",1,oxítona,False
macaqueação,"['ma', 'ca', 'que', 'a', 'ção']",4,oxítona,False
macaquear,"['ma', 'ca', 'que', 'ar']",3,oxítona,False
macaquice,"['ma', 'ca', 'qui', 'ce']",2,paroxítona,False
macaquinho,"['ma', 'ca', 'qui', 'nho']",2,paroxítona,False
maçar,"['ma', 'çar']",1,oxítona,False
macareno,"['ma', 'ca', 're', 'no']",2,paroxítona,True
macaréu,"['ma', 'ca', 'réu']",2,oxítona,False
maçarico,"['ma', 'ça', 'ri', 'co']",2,paroxítona,True
maçarico-de-bico-direito,"['ma', 'ça', 'ri', 'co-de-bi', 'co-di', 'rei', 'to']",5,paroxítona,False
maçaroca,"['ma', 'ça', 'ro', 'ca']",2,paroxítona,True
macaronésio,"['ma', 'ca', 'ro', 'né', 'si', 'o']",3,proparoxítona,False
macarrão,"['ma', 'car', 'rão']",2,oxítona,False
macarronicamente,"['ma', 'car', 'ro', 'ni', 'ca', 'men', 'te']",5,paroxítona,False
macarrónico,"['ma', 'car', 'ró', 'ni', 'co']",2,proparoxítona,False
macau,"['ma', 'cau']",1,oxítona,False
macedense,"['ma', 'ce', 'den', 'se']",2,paroxítona,False
macedónia,"['ma', 'ce', 'dó', 'ni', 'a']",2,proparoxítona,False
macedónico,"['ma', 'ce', 'dó', 'ni', 'co']",2,proparoxítona,True
macedónio,"['ma', 'ce', 'dó', 'ni', 'o']",2,proparoxítona,False
maceira,"['ma', 'cei', 'ra']",1,paroxítona,False
maceração,"['ma', 'ce', 'ra', 'ção']",3,oxítona,False
macerado,"['ma', 'ce', 'ra', 'do']",2,paroxítona,True
macerar,"['ma', 'ce', 'rar']",2,oxítona,False
maceta,"['ma', 'ce', 'ta']",1,paroxítona,True
macetar,"['ma', 'ce', 'tar']",2,oxítona,False
macete,"['ma', 'ce', 'te']",1,paroxítona,True
mach,"['ma', 'ch']",0,paroxítona,False
macha,"['ma', 'cha']",0,paroxítona,False
machada,"['ma', 'cha', 'da']",1,paroxítona,False
machadada,"['ma', 'cha', 'da', 'da']",2,paroxítona,False
machadar,"['ma', 'cha', 'dar']",2,oxítona,False
machadinha,"['ma', 'cha', 'di', 'nha']",2,paroxítona,False
machado,"['ma', 'cha', 'do']",1,paroxítona,False
machamba,"['ma', 'cham', 'ba']",1,paroxítona,False
machão,"['ma', 'chão']",1,oxítona,False
machear,"['ma', 'che', 'ar']",2,oxítona,False
macheia,"['ma', 'chei', 'a']",1,paroxítona,False
machete,"['ma', 'che', 'te']",1,paroxítona,False
machicar,"['ma', 'chi', 'car']",2,oxítona,False
machim,"['ma', 'chim']",1,oxítona,False
machimbombo,"['ma', 'chim', 'bom', 'bo']",2,paroxítona,False
machinar,"['ma', 'chi', 'nar']",2,oxítona,False
machiquense,"['ma', 'chi', 'quen', 'se']",2,paroxítona,False
machismo,"['ma', 'chis', 'mo']",1,paroxítona,False
machista,"['ma', 'chis', 'ta']",1,paroxítona,False
macho,"['ma', 'cho']",0,paroxítona,False
machona,"['ma', 'cho', 'na']",1,paroxítona,False
machucado,"['ma', 'chu', 'ca', 'do']",2,paroxítona,False
machucar,"['ma', 'chu', 'car']",2,oxítona,False
machuqueiro,"['ma', 'chu', 'quei', 'ro']",2,paroxítona,False
maciamente,"['ma', 'ci', 'a', 'men', 'te']",3,paroxítona,False
maciar,"['ma', 'ci', 'ar']",2,oxítona,False
maciçamente,"['ma', 'ci', 'ça', 'men', 'te']",3,paroxítona,False
maciço,"['ma', 'ci', 'ço']",1,paroxítona,True
macieira,"['ma', 'ci', 'ei', 'ra']",2,paroxítona,False
macieza,"['ma', 'ci', 'e', 'za']",2,paroxítona,False
macilento,"['ma', 'ci', 'len', 'to']",2,paroxítona,False
macio,"['ma', 'ci', 'o']",1,paroxítona,False
maço,"['ma', 'ço']",0,paroxítona,True
macoca,"['ma', 'co', 'ca']",1,paroxítona,True
maçonaria,"['ma', 'ço', 'na', 'ri', 'a']",3,paroxítona,False
maconde,"['ma', 'con', 'de']",1,paroxítona,False
maconha,"['ma', 'co', 'nha']",1,paroxítona,False
maconhar,"['ma', 'co', 'nhar']",2,oxítona,False
maçonicamente,"['ma', 'ço', 'ni', 'ca', 'men', 'te']",4,paroxítona,False
maçónico,"['ma', 'çó', 'ni', 'co']",1,proparoxítona,True
macramé,"['ma', 'cra', 'mé']",2,oxítona,False
macro,"['ma', 'cro']",0,paroxítona,False
macrobiótica,"['ma', 'cro', 'bi', 'ó', 'ti', 'ca']",3,proparoxítona,False
macrobiótico,"['ma', 'cro', 'bi', 'ó', 'ti', 'co']",3,proparoxítona,False
macrocéfala,"['ma', 'cro', 'cé', 'fa', 'la']",2,proparoxítona,False
macrocefalia,"['ma', 'cro', 'ce', 'fa', 'li', 'a']",4,paroxítona,False
macrocéfalo,"['ma', 'cro', 'cé', 'fa', 'lo']",2,proparoxítona,False
macrocosmo,"['ma', 'cro', 'cos', 'mo']",2,paroxítona,False
macroeconomia,"['ma', 'cro', 'e', 'co', 'no', 'mi', 'a']",5,paroxítona,False
macroeconómico,"['ma', 'cro', 'e', 'co', 'nó', 'mi', 'co']",4,proparoxítona,False
macroestrutura,"['ma', 'cro', 'es', 'tru', 'tu', 'ra']",4,paroxítona,False
macrófago,"['ma', 'cró', 'fa', 'go']",1,proparoxítona,False
macromolécula,"['ma', 'cro', 'mo', 'lé', 'cu', 'la']",3,proparoxítona,False
macroscopicamente,"['ma', 'cros', 'co', 'pi', 'ca', 'men', 'te']",5,paroxítona,False
macroscópico,"['ma', 'cros', 'có', 'pi', 'co']",2,proparoxítona,False
macua,"['ma', 'cu', 'a']",1,paroxítona,False
maçudamente,"['ma', 'çu', 'da', 'men', 'te']",3,paroxítona,False
maçudo,"['ma', 'çu', 'do']",1,paroxítona,True
mácula,"['má', 'cu', 'la']",0,proparoxítona,True
maculado,"['ma', 'cu', 'la', 'do']",2,paroxítona,True
macular,"['ma', 'cu', 'lar']",2,oxítona,False
maculusso,"['ma', 'cu', 'lus', 'so']",2,paroxítona,False
macumba,"['ma', 'cum', 'ba']",1,paroxítona,False
macúti,"['ma', 'cú', 'ti']",1,paroxítona,True
madala,"['ma', 'da', 'la']",1,paroxítona,True
madalena,"['ma', 'da', 'le', 'na']",2,paroxítona,True
madama,"['ma', 'da', 'ma']",1,paroxítona,True
madeira,"['ma', 'dei', 'ra']",1,paroxítona,False
madeirame,"['ma', 'dei', 'ra', 'me']",2,paroxítona,False
madeiramento,"['ma', 'dei', 'ra', 'men', 'to']",3,paroxítona,False
madeirar,"['ma', 'dei', 'rar']",2,oxítona,False
madeireira,"['ma', 'dei', 'rei', 'ra']",2,paroxítona,False
madeireiro,"['ma', 'dei', 'rei', 'ro']",2,paroxítona,False
madeirense,"['ma', 'dei', 'ren', 'se']",2,paroxítona,False
madeiro,"['ma', 'dei', 'ro']",1,paroxítona,False
madeixa,"['ma', 'dei', 'xa']",1,paroxítona,False
madeixar,"['ma', 'dei', 'xar']",2,oxítona,False
madianita,"['ma', 'di', 'a', 'ni', 'ta']",3,paroxítona,False
madona,"['ma', 'do', 'na']",1,paroxítona,True
madorna,"['ma', 'dor', 'na']",1,paroxítona,False
madraço,"['ma', 'dra', 'ço']",1,paroxítona,False
madragoa,"['ma', 'dra', 'go', 'a']",2,paroxítona,False
madrassa,"['ma', 'dras', 'sa']",1,paroxítona,False
madrasta,"['ma', 'dras', 'ta']",1,paroxítona,False
madrasto,"['ma', 'dras', 'to']",1,paroxítona,False
madre,"['ma', 'dre']",0,paroxítona,False
madrepérola,"['ma', 'dre', 'pé', 'ro', 'la']",2,proparoxítona,False
madressilva,"['ma', 'dres', 'sil', 'va']",2,paroxítona,False
madria,"['ma', 'dri', 'a']",1,paroxítona,False
madrigal,"['ma', 'dri', 'gal']",2,oxítona,False
madrigalista,"['ma', 'dri', 'ga', 'lis', 'ta']",3,paroxítona,False
madrilena,"['ma', 'dri', 'le', 'na']",2,paroxítona,False
