word,syllables,tonic,class,canonic
vaca,"['va', 'ca']",0,paroxítona,True
vacada,"['va', 'ca', 'da']",1,paroxítona,True
vacante,"['va', 'can', 'te']",1,paroxítona,False
vacar,"['va', 'car']",1,oxítona,False
vacaria,"['va', 'ca', 'ri', 'a']",2,paroxítona,False
vacatura,"['va', 'ca', 'tu', 'ra']",2,paroxítona,True
vacilação,"['va', 'ci', 'la', 'ção']",3,oxítona,False
vacilante,"['va', 'ci', 'lan', 'te']",2,paroxítona,False
vacilantemente,"['va', 'ci', 'lan', 'te', 'men', 'te']",4,paroxítona,False
vacilar,"['va', 'ci', 'lar']",2,oxítona,False
vacina,"['va', 'ci', 'na']",1,paroxítona,True
vacinação,"['va', 'ci', 'na', 'ção']",3,oxítona,False
vacinado,"['va', 'ci', 'na', 'do']",2,paroxítona,True
vacinal,"['va', 'ci', 'nal']",2,oxítona,False
vacinar,"['va', 'ci', 'nar']",2,oxítona,False
vacuidade,"['va', 'cui', 'da', 'de']",2,paroxítona,False
vacum,"['va', 'cum']",1,oxítona,False
vácuo,"['vá', 'cu', 'o']",0,proparoxítona,False
vadia,"['va', 'di', 'a']",1,paroxítona,False
vadiagem,"['va', 'di', 'a', 'gem']",2,paroxítona,False
vadiamente,"['va', 'di', 'a', 'men', 'te']",3,paroxítona,False
vadiar,"['va', 'di', 'ar']",2,oxítona,False
vadio,"['va', 'di', 'o']",1,paroxítona,False
vaga,"['va', 'ga']",0,paroxítona,True
vagabunda,"['va', 'ga', 'bun', 'da']",2,paroxítona,False
vagabundagem,"['va', 'ga', 'bun', 'da', 'gem']",3,paroxítona,False
vagabundar,"['va', 'ga', 'bun', 'dar']",3,oxítona,False
vagabundear,"['va', 'ga', 'bun', 'de', 'ar']",4,oxítona,False
vagabundo,"['va', 'ga', 'bun', 'do']",2,paroxítona,False
vagalhão,"['va', 'ga', 'lhão']",2,oxítona,False
vagamente,"['va', 'ga', 'men', 'te']",2,paroxítona,False
vagamundo,"['va', 'ga', 'mun', 'do']",2,paroxítona,False
vagão,"['va', 'gão']",1,oxítona,False
vagão-restaurante,"['va', 'gão', '-res', 'tau', 'ran', 'te']",4,paroxítona,False
vagar,"['va', 'gar']",1,oxítona,False
vagarosa,"['va', 'ga', 'ro', 'sa']",2,paroxítona,True
vagarosamente,"['va', 'ga', 'ro', 'sa', 'men', 'te']",4,paroxítona,False
vagaroso,"['va', 'ga', 'ro', 'so']",2,paroxítona,True
vagem,"['va', 'gem']",0,paroxítona,False
vagido,"['va', 'gi', 'do']",1,paroxítona,True
vagina,"['va', 'gi', 'na']",1,paroxítona,True
vaginal,"['va', 'gi', 'nal']",2,oxítona,False
vaginismo,"['va', 'gi', 'nis', 'mo']",2,paroxítona,False
vagir,"['va', 'gir']",1,oxítona,False
vago,"['va', 'go']",0,paroxítona,True
vagoneta,"['va', 'go', 'ne', 'ta']",2,paroxítona,True
vagonete,"['va', 'go', 'ne', 'te']",2,paroxítona,True
vaguear,"['va', 'gue', 'ar']",2,oxítona,False
vagueira,"['va', 'guei', 'ra']",1,paroxítona,False
vagueiro,"['va', 'guei', 'ro']",1,paroxítona,False
vaguense,"['va', 'guen', 'se']",1,paroxítona,False
vaguíssimo,"['va', 'guís', 'si', 'mo']",1,proparoxítona,False
vai-não-vai,"['vai', '-não-', 'vai']",2,oxítona,False
vaia,"['vai', 'a']",0,paroxítona,False
vaiar,"['vai', 'ar']",1,oxítona,False
vaidade,"['vai', 'da', 'de']",1,paroxítona,False
vaidosa,"['vai', 'do', 'sa']",1,paroxítona,False
vaidosamente,"['vai', 'do', 'sa', 'men', 'te']",3,paroxítona,False
vaidoso,"['vai', 'do', 'so']",1,paroxítona,False
vairão,"['vai', 'rão']",1,oxítona,False
vaivém,"['vai', 'vém']",1,oxítona,False
vala,"['va', 'la']",0,paroxítona,True
valada,"['va', 'la', 'da']",1,paroxítona,True
valado,"['va', 'la', 'do']",1,paroxítona,True
valador,"['va', 'la', 'dor']",2,oxítona,False
valão,"['va', 'lão']",1,oxítona,False
valáquia,"['va', 'lá', 'qui', 'a']",1,proparoxítona,False
valáquio,"['va', 'lá', 'qui', 'o']",1,proparoxítona,False
valar,"['va', 'lar']",1,oxítona,False
valboense,"['val', 'bo', 'en', 'se']",2,paroxítona,False
valdense,"['val', 'den', 'se']",1,paroxítona,False
valdevinos,"['val', 'de', 'vi', 'nos']",2,paroxítona,False
valdo,"['val', 'do']",0,paroxítona,False
vale,"['va', 'le']",0,paroxítona,True
vale-cambrense,"['va', 'le-cam', 'bren', 'se']",2,paroxítona,False
valedor,"['va', 'le', 'dor']",2,oxítona,False
valeira,"['va', 'lei', 'ra']",1,paroxítona,False
valeiro,"['va', 'lei', 'ro']",1,paroxítona,False
valejo,"['va', 'le', 'jo']",1,paroxítona,True
valência,"['va', 'lên', 'ci', 'a']",1,proparoxítona,False
valenciana,"['va', 'len', 'ci', 'a', 'na']",3,paroxítona,False
valenciano,"['va', 'len', 'ci', 'a', 'no']",3,paroxítona,False
valentão,"['va', 'len', 'tão']",2,oxítona,False
valente,"['va', 'len', 'te']",1,paroxítona,False
valentemente,"['va', 'len', 'te', 'men', 'te']",3,paroxítona,False
valentia,"['va', 'len', 'ti', 'a']",2,paroxítona,False
valer,"['va', 'ler']",1,oxítona,False
valeriana,"['va', 'le', 'ri', 'a', 'na']",3,paroxítona,False
valerosamente,"['va', 'le', 'ro', 'sa', 'men', 'te']",4,paroxítona,False
valeroso,"['va', 'le', 'ro', 'so']",2,paroxítona,True
valete,"['va', 'le', 'te']",1,paroxítona,True
valia,"['va', 'li', 'a']",1,paroxítona,False
valida,"['va', 'li', 'da']",1,paroxítona,True
validação,"['va', 'li', 'da', 'ção']",3,oxítona,False
validade,"['va', 'li', 'da', 'de']",2,paroxítona,True
validamente,"['va', 'li', 'da', 'men', 'te']",3,paroxítona,False
validar,"['va', 'li', 'dar']",2,oxítona,False
validez,"['va', 'li', 'dez']",2,oxítona,False
valido,"['va', 'li', 'do']",1,paroxítona,True
válido,"['vá', 'li', 'do']",0,proparoxítona,True
valimento,"['va', 'li', 'men', 'to']",2,paroxítona,False
valiosamente,"['va', 'li', 'o', 'sa', 'men', 'te']",4,paroxítona,False
valioso,"['va', 'li', 'o', 'so']",2,paroxítona,False
valo,"['va', 'lo']",0,paroxítona,True
valonguense,"['va', 'lon', 'guen', 'se']",2,paroxítona,False
valor,"['va', 'lor']",1,oxítona,False
valor-base,"['va', 'lor', 'ba', 'se']",2,paroxítona,False
valoração,"['va', 'lo', 'ra', 'ção']",3,oxítona,False
valorado,"['va', 'lo', 'ra', 'do']",2,paroxítona,True
valorar,"['va', 'lo', 'rar']",2,oxítona,False
valorativo,"['va', 'lo', 'ra', 'ti', 'vo']",3,paroxítona,True
valorização,"['va', 'lo', 'ri', 'za', 'ção']",4,oxítona,False
valorizado,"['va', 'lo', 'ri', 'za', 'do']",3,paroxítona,True
valorizador,"['va', 'lo', 'ri', 'za', 'dor']",4,oxítona,False
valorizadora,"['va', 'lo', 'ri', 'za', 'do', 'ra']",4,paroxítona,True
valorizar,"['va', 'lo', 'ri', 'zar']",3,oxítona,False
valorizável,"['va', 'lo', 'ri', 'zá', 'vel']",3,paroxítona,False
valorosamente,"['va', 'lo', 'ro', 'sa', 'men', 'te']",4,paroxítona,False
valoroso,"['va', 'lo', 'ro', 'so']",2,paroxítona,True
valpacense,"['val', 'pa', 'cen', 'se']",2,paroxítona,False
valquíria,"['val', 'quí', 'ri', 'a']",1,proparoxítona,False
valsa,"['val', 'sa']",0,paroxítona,False
valsar,"['val', 'sar']",1,oxítona,False
valverde,"['val', 'ver', 'de']",1,paroxítona,False
válvula,"['vál', 'vu', 'la']",0,proparoxítona,False
valvular,"['val', 'vu', 'lar']",2,oxítona,False
vampe,"['vam', 'pe']",0,paroxítona,False
vampírico,"['vam', 'pí', 'ri', 'co']",1,proparoxítona,False
vampirismo,"['vam', 'pi', 'ris', 'mo']",2,paroxítona,False
vampirizar,"['vam', 'pi', 'ri', 'zar']",3,oxítona,False
vampiro,"['vam', 'pi', 'ro']",1,paroxítona,False
vanádio,"['va', 'ná', 'di', 'o']",1,proparoxítona,False
vandalismo,"['van', 'da', 'lis', 'mo']",2,paroxítona,False
vandalização,"['van', 'da', 'li', 'za', 'ção']",4,oxítona,False
vandalizar,"['van', 'da', 'li', 'zar']",3,oxítona,False
vândalo,"['vân', 'da', 'lo']",0,proparoxítona,False
vanglória,"['van', 'gló', 'ri', 'a']",1,proparoxítona,False
vangloriar,"['van', 'glo', 'ri', 'ar']",3,oxítona,False
vanguarda,"['van', 'guar', 'da']",1,paroxítona,False
vanguardismo,"['van', 'guar', 'dis', 'mo']",2,paroxítona,False
vanguardista,"['van', 'guar', 'dis', 'ta']",2,paroxítona,False
vanidade,"['va', 'ni', 'da', 'de']",2,paroxítona,True
vantagem,"['van', 'ta', 'gem']",1,paroxítona,False
vantajosamente,"['van', 'ta', 'jo', 'sa', 'men', 'te']",4,paroxítona,False
vantajoso,"['van', 'ta', 'jo', 'so']",2,paroxítona,False
vante,"['van', 'te']",0,paroxítona,False
vão,['vão'],0,oxítona,False
vapor,"['va', 'por']",1,oxítona,False
vaporar,"['va', 'po', 'rar']",2,oxítona,False
vaporização,"['va', 'po', 'ri', 'za', 'ção']",4,oxítona,False
vaporizador,"['va', 'po', 'ri', 'za', 'dor']",4,oxítona,False
vaporizar,"['va', 'po', 'ri', 'zar']",3,oxítona,False
vaporosamente,"['va', 'po', 'ro', 'sa', 'men', 'te']",4,paroxítona,False
vaporoso,"['va', 'po', 'ro', 'so']",2,paroxítona,True
vaqueira,"['va', 'quei', 'ra']",1,paroxítona,False
vaqueiro,"['va', 'quei', 'ro']",1,paroxítona,False
vaquinha,"['va', 'qui', 'nha']",1,paroxítona,False
vara,"['va', 'ra']",0,paroxítona,True
varada,"['va', 'ra', 'da']",1,paroxítona,True
varado,"['va', 'ra', 'do']",1,paroxítona,True
varadouro,"['va', 'ra', 'dou', 'ro']",2,paroxítona,False
varal,"['va', 'ral']",1,oxítona,False
varanda,"['va', 'ran', 'da']",1,paroxítona,False
varandim,"['va', 'ran', 'dim']",2,oxítona,False
varão,"['va', 'rão']",1,oxítona,False
varapau,"['va', 'ra', 'pau']",2,oxítona,False
varar,"['va', 'rar']",1,oxítona,False
vareira,"['va', 'rei', 'ra']",1,paroxítona,False
vareiro,"['va', 'rei', 'ro']",1,paroxítona,False
varejão,"['va', 're', 'jão']",2,oxítona,False
varejar,"['va', 're', 'jar']",2,oxítona,False
varejeira,"['va', 're', 'jei', 'ra']",2,paroxítona,False
varejeiro,"['va', 're', 'jei', 'ro']",2,paroxítona,False
varejo,"['va', 're', 'jo']",1,paroxítona,True
varela,"['va', 're', 'la']",1,paroxítona,True
vareta,"['va', 're', 'ta']",1,paroxítona,True
varga,"['var', 'ga']",0,paroxítona,False
vargem,"['var', 'gem']",0,paroxítona,False
vária,"['vá', 'ri', 'a']",0,proparoxítona,False
variabilidade,"['va', 'ri', 'a', 'bi', 'li', 'da', 'de']",5,paroxítona,False
variação,"['va', 'ri', 'a', 'ção']",3,oxítona,False
variadamente,"['va', 'ri', 'a', 'da', 'men', 'te']",4,paroxítona,False
variadíssimo,"['va', 'ri', 'a', 'dís', 'si', 'mo']",3,proparoxítona,False
variado,"['va', 'ri', 'a', 'do']",2,paroxítona,False
variamente,"['va', 'ri', 'a', 'men', 'te']",3,paroxítona,False
variância,"['va', 'ri', 'ân', 'ci', 'a']",2,proparoxítona,False
variante,"['va', 'ri', 'an', 'te']",2,paroxítona,False
variar,"['va', 'ri', 'ar']",2,oxítona,False
variável,"['va', 'ri', 'á', 'vel']",2,paroxítona,False
variavelmente,"['va', 'ri', 'a', 'vel', 'men', 'te']",4,paroxítona,False
varicela,"['va', 'ri', 'ce', 'la']",2,paroxítona,True
varicelar,"['va', 'ri', 'ce', 'lar']",3,oxítona,False
