word,syllables,tonic,class,canonic
zabumba,"['za', 'bum', 'ba']",1,paroxítona,False
zabumbar,"['za', 'bum', 'bar']",2,oxítona,False
zaga,"['za', 'ga']",0,paroxítona,True
zagaia,"['za', 'gai', 'a']",1,paroxítona,False
zagaiada,"['za', 'gai', 'a', 'da']",2,paroxítona,False
zagaiar,"['za', 'gai', 'ar']",2,oxítona,False
zagal,"['za', 'gal']",1,oxítona,False
zagalote,"['za', 'ga', 'lo', 'te']",2,paroxítona,True
zagueiro,"['za', 'guei', 'ro']",1,paroxítona,False
zaida,"['zai', 'da']",0,paroxítona,False
zaina,"['zai', 'na']",0,paroxítona,False
zaino,"['zai', 'no']",0,paroxítona,False
zaira,"['zai', 'ra']",0,paroxítona,False
zaire,"['zai', 're']",0,paroxítona,False
zairense,"['zai', 'ren', 'se']",1,paroxítona,False
zairota,"['zai', 'ro', 'ta']",1,paroxítona,False
zamba,"['zam', 'ba']",0,paroxítona,False
zambiana,"['zam', 'bi', 'a', 'na']",2,paroxítona,False
zambiano,"['zam', 'bi', 'a', 'no']",2,paroxítona,False
zambo,"['zam', 'bo']",0,paroxítona,False
zambra,"['zam', 'bra']",0,paroxítona,False
zambro,"['zam', 'bro']",0,paroxítona,False
zambujal,"['zam', 'bu', 'jal']",2,oxítona,False
zambujeiro,"['zam', 'bu', 'jei', 'ro']",2,paroxítona,False
zambujo,"['zam', 'bu', 'jo']",1,paroxítona,False
zampar,"['zam', 'par']",1,oxítona,False
zanga,"['zan', 'ga']",0,paroxítona,False
zangado,"['zan', 'ga', 'do']",1,paroxítona,False
zangão,"['zan', 'gão']",1,oxítona,False
zangar,"['zan', 'gar']",1,oxítona,False
zanzibar,"['zan', 'zi', 'bar']",2,oxítona,False
zapping,"['zap', 'ping']",0,paroxítona,False
zaragata,"['za', 'ra', 'ga', 'ta']",2,paroxítona,True
zaragateira,"['za', 'ra', 'ga', 'tei', 'ra']",3,paroxítona,False
zaragateiro,"['za', 'ra', 'ga', 'tei', 'ro']",3,paroxítona,False
zaragatoa,"['za', 'ra', 'ga', 'to', 'a']",3,paroxítona,False
zaragatoar,"['za', 'ra', 'ga', 'to', 'ar']",4,oxítona,False
zarcão,"['zar', 'cão']",1,oxítona,False
zarco,"['zar', 'co']",0,paroxítona,False
zargo,"['zar', 'go']",0,paroxítona,False
zarolho,"['za', 'ro', 'lho']",1,paroxítona,False
zarpar,"['zar', 'par']",1,oxítona,False
zarro,"['zar', 'ro']",0,paroxítona,False
zarzuela,"['zar', 'zu', 'e', 'la']",2,paroxítona,False
zás,['zás'],0,oxítona,False
zau,['zau'],0,oxítona,False
zavar,"['za', 'var']",1,oxítona,False
zê,['zê'],0,oxítona,True
zé,['zé'],0,oxítona,True
zé-ninguém,"['zé', '-nin', 'guém']",2,oxítona,False
zé-pereira,"['zé', '-pe', 'rei', 'ra']",2,paroxítona,False
zé-povinho,"['zé', '-po', 'vi', 'nho']",2,paroxítona,False
zebra,"['ze', 'bra']",0,paroxítona,False
zebrar,"['ze', 'brar']",1,oxítona,False
zebro,"['ze', 'bro']",0,paroxítona,False
zebu,"['ze', 'bu']",1,oxítona,True
zéfiro,"['zé', 'fi', 'ro']",0,proparoxítona,True
zeitgeist,"['zeit', 'geist']",0,paroxítona,False
zelador,"['ze', 'la', 'dor']",2,oxítona,False
zelar,"['ze', 'lar']",1,oxítona,False
zelo,"['ze', 'lo']",0,paroxítona,True
zelosamente,"['ze', 'lo', 'sa', 'men', 'te']",3,paroxítona,False
zeloso,"['ze', 'lo', 'so']",1,paroxítona,True
zen,['zen'],0,oxítona,False
zenda,"['zen', 'da']",0,paroxítona,False
zende,"['zen', 'de']",0,paroxítona,False
zenir,"['ze', 'nir']",1,oxítona,False
zenital,"['ze', 'ni', 'tal']",2,oxítona,False
zénite,"['zé', 'ni', 'te']",0,proparoxítona,True
zepelim,"['ze', 'pe', 'lim']",2,oxítona,False
zero,"['ze', 'ro']",0,paroxítona,True
zeta,"['ze', 'ta']",0,paroxítona,True
zeugma,"['zeug', 'ma']",0,paroxítona,False
zibelina,"['zi', 'be', 'li', 'na']",2,paroxítona,True
zigoto,"['zi', 'go', 'to']",1,paroxítona,True
ziguezague,"['zi', 'gue', 'za', 'gue']",2,paroxítona,False
ziguezagueante,"['zi', 'gue', 'za', 'gue', 'an', 'te']",4,paroxítona,False
ziguezaguear,"['zi', 'gue', 'za', 'gue', 'ar']",4,oxítona,False
zigurate,"['zi', 'gu', 'ra', 'te']",2,paroxítona,True
zimbabuano,"['zim', 'ba', 'bu', 'a', 'no']",3,paroxítona,False
zimbo,"['zim', 'bo']",0,paroxítona,False
zimbório,"['zim', 'bó', 'ri', 'o']",1,proparoxítona,False
zimbral,"['zim', 'bral']",1,oxítona,False
zimbrar,"['zim', 'brar']",1,oxítona,False
zimbro,"['zim', 'bro']",0,paroxítona,False
zina,"['zi', 'na']",0,paroxítona,True
zincar,"['zin', 'car']",1,oxítona,False
zinco,"['zin', 'co']",0,paroxítona,False
zincogravura,"['zin', 'co', 'gra', 'vu', 'ra']",3,paroxítona,False
zinga,"['zin', 'ga']",0,paroxítona,False
zingar,"['zin', 'gar']",1,oxítona,False
zíngaro,"['zín', 'ga', 'ro']",0,proparoxítona,False
zinho,"['zi', 'nho']",0,paroxítona,False
zinir,"['zi', 'nir']",1,oxítona,False
zip,['zip'],0,oxítona,False
zircónio,"['zir', 'có', 'ni', 'o']",1,proparoxítona,False
zito,"['zi', 'to']",0,paroxítona,True
zloty,"['zlo', 'ty']",0,paroxítona,False
zoada,"['zo', 'a', 'da']",1,paroxítona,False
zoar,"['zo', 'ar']",1,oxítona,False
zodiacal,"['zo', 'di', 'a', 'cal']",3,oxítona,False
zoilo,"['zoi', 'lo']",0,paroxítona,False
zola,"['zo', 'la']",0,paroxítona,True
zomba,"['zom', 'ba']",0,paroxítona,False
zombar,"['zom', 'bar']",1,oxítona,False
zombaria,"['zom', 'ba', 'ri', 'a']",2,paroxítona,False
zombeteira,"['zom', 'be', 'tei', 'ra']",2,paroxítona,False
zombeteiramente,"['zom', 'be', 'tei', 'ra', 'men', 'te']",4,paroxítona,False
zombeteiro,"['zom', 'be', 'tei', 'ro']",2,paroxítona,False
zombie,"['zom', 'bie']",1,oxítona,False
zona,"['zo', 'na']",0,paroxítona,True
zonal,"['zo', 'nal']",1,oxítona,False
zonamento,"['zo', 'na', 'men', 'to']",2,paroxítona,False
zonar,"['zo', 'nar']",1,oxítona,False
zoneamento,"['zo', 'ne', 'a', 'men', 'to']",3,paroxítona,False
zongola,"['zon', 'go', 'la']",1,paroxítona,False
zongolar,"['zon', 'go', 'lar']",2,oxítona,False
zonzo,"['zon', 'zo']",0,paroxítona,False
zonzom,"['zon', 'zom']",0,paroxítona,False
zoo,"['zo', 'o']",0,paroxítona,False
zoófila,"['zo', 'ó', 'fi', 'la']",1,proparoxítona,False
zoófilo,"['zo', 'ó', 'fi', 'lo']",1,proparoxítona,False
zoologia,"['zo', 'o', 'lo', 'gi', 'a']",3,paroxítona,False
zoologicamente,"['zo', 'o', 'lo', 'gi', 'ca', 'men', 'te']",5,paroxítona,False
zoológico,"['zo', 'o', 'ló', 'gi', 'co']",2,proparoxítona,False
zoologista,"['zo', 'o', 'lo', 'gis', 'ta']",3,paroxítona,False
zoólogo,"['zo', 'ó', 'lo', 'go']",1,proparoxítona,False
zoom,['zoom'],0,oxítona,False
zoomórfico,"['zo', 'o', 'mór', 'fi', 'co']",2,proparoxítona,False
zoonose,"['zo', 'o', 'no', 'se']",2,paroxítona,False
zooplâncton,"['zo', 'o', 'plânc', 'ton']",2,paroxítona,False
zootecnia,"['zo', 'o', 'tec', 'ni', 'a']",3,paroxítona,False
zootécnica,"['zo', 'o', 'téc', 'ni', 'ca']",2,proparoxítona,False
zootécnico,"['zo', 'o', 'téc', 'ni', 'co']",2,proparoxítona,False
zopo,"['zo', 'po']",0,paroxítona,True
zoroastriano,"['zo', 'ro', 'as', 'tri', 'a', 'no']",4,paroxítona,False
zoroastrismo,"['zo', 'ro', 'as', 'tris', 'mo']",3,paroxítona,False
zoroastrista,"['zo', 'ro', 'as', 'tris', 'ta']",3,paroxítona,False
zorra,"['zor', 'ra']",0,paroxítona,False
zorro,"['zor', 'ro']",0,paroxítona,False
zuavo,"['zu', 'a', 'vo']",1,paroxítona,False
zuca,"['zu', 'ca']",0,paroxítona,True
zucar,"['zu', 'car']",1,oxítona,False
zuco,"['zu', 'co']",0,paroxítona,True
zuir,"['zu', 'ir']",1,oxítona,False
zular,"['zu', 'lar']",1,oxítona,False
zulo,"['zu', 'lo']",0,paroxítona,True
